status=UNSAFE
input=examples/aiger/counter-overflow-4.aag
horizon=137
backend=cdcl
bad_frame=15
bad_pattern=15
frame,state_bits_low_to_high
0,0000
1,1000
2,0100
3,1100
4,0010
5,1010
6,0110
7,1110
8,0001
9,1001
10,0101
11,1101
12,0011
13,1011
14,0111
15,1111
16,0000
17,1000
18,0100
19,1100
20,0010
21,1010
22,0110
23,1110
24,0001
25,1001
26,0101
27,1101
28,0011
29,1011
30,0111
31,1111
32,0000
33,1000
34,0100
35,1100
36,0010
37,1010
38,0110
39,1110
40,0001
41,1001
42,0101
43,1101
44,0011
45,1011
46,0111
47,1111
48,0000
49,1000
50,0100
51,1100
52,0010
53,1010
54,0110
55,1110
56,0001
57,1001
58,0101
59,1101
60,0011
61,1011
62,0111
63,1111
64,0000
65,1000
66,0100
67,1100
68,0010
69,1010
70,0110
71,1110
72,0001
73,1001
74,0101
75,1101
76,0011
77,1011
78,0111
79,1111
80,0000
81,1000
82,0100
83,1100
84,0010
85,1010
86,0110
87,1110
88,0001
89,1001
90,0101
91,1101
92,0011
93,1011
94,0111
95,1111
96,0000
97,1000
98,0100
99,1100
100,0010
101,1010
102,0110
103,1110
104,0001
105,1001
106,0101
107,1101
108,0011
109,1011
110,0111
111,1111
112,0000
113,1000
114,0100
115,1100
116,0010
117,1010
118,0110
119,1110
120,0001
121,1001
122,0101
123,1101
124,0011
125,1011
126,0111
127,1111
128,0000
129,1000
130,0100
131,1100
132,0010
133,1010
134,0110
135,1110
136,0001
137,1001
