status=UNSAFE
input=examples/aiger/spi-bus-receive-e-08-bits.aag
horizon=50
backend=cdcl
gate_reason=aiger-primary-inputs
bad_frame=16
bad_output=0
frame,latch_bits_low_to_high,input_bits_low_to_high
0,000000000000000000,000
1,101000000000000000,110
2,110100000010000000,010
3,100100000010000000,100
4,110010000010000000,010
5,100010000010000000,110
6,110001000010100000,010
7,100001000010100000,100
8,110000100010100000,000
9,100000100010100000,110
10,110000010010101000,010
11,100000010010101000,110
12,110000001010101100,000
13,100000001010101100,100
14,110000000110101100,000
15,100000000110101100,110
16,111000000010101101,100
