kind,width,horizon,variables,clauses,queries,node_limit,order,admitted,recognition_ns,bdd_nodes,preimage_ns_per_query,incremental_varisat_ns_per_query,speedup_vs_incremental,sat_queries,unsat_queries,agreement,witnesses_valid,status
hub3,7,7,56,392,50,200000,dependency,true,406208,560,3953.340,12254.160,3.099698,23,27,true,true,ok
hub3,7,15,112,840,50,200000,dependency,true,1032959,573,3491.660,40734.160,11.666130,14,36,true,true,ok
hub3,7,31,224,1736,50,200000,dependency,true,2427417,573,6430.000,57877.500,9.001166,11,39,true,true,ok
hub3,9,7,72,504,50,200000,dependency,true,1732667,1276,35028.320,28135.840,0.803231,29,21,true,true,ok
hub3,9,15,144,1080,50,200000,dependency,true,2022541,1573,13606.680,34890.840,2.564243,13,37,true,true,ok
hub3,9,31,288,2232,50,200000,dependency,true,4131583,1573,30574.160,112320.840,3.673718,11,39,true,true,ok
tree3,7,7,56,392,50,200000,dependency,true,258541,317,5697.500,13810.000,2.423870,22,28,true,true,ok
tree3,7,15,112,840,50,200000,dependency,true,336750,317,4625.000,45978.340,9.941263,19,31,true,true,ok
tree3,7,31,224,1736,50,200000,dependency,true,2020542,317,3371.680,127236.660,37.736873,21,29,true,true,ok
tree3,9,7,72,504,50,200000,dependency,true,970833,849,10815.840,14756.680,1.364358,30,20,true,true,ok
tree3,9,15,144,1080,50,200000,dependency,true,5113750,849,14435.840,72294.160,5.007964,17,33,true,true,ok
tree3,9,31,288,2232,50,200000,dependency,true,2339083,849,9440.840,332260.000,35.193902,27,23,true,true,ok
irregular3,7,7,56,392,50,200000,dependency,true,461375,1180,8136.680,34951.660,4.295568,31,19,true,true,ok
irregular3,7,15,112,840,50,200000,dependency,true,2231333,1354,15353.340,88596.660,5.770514,25,25,true,true,ok
irregular3,7,31,224,1736,50,200000,dependency,true,1180416,1354,5214.160,193269.160,37.066212,26,24,true,true,ok
irregular3,9,7,72,504,50,200000,dependency,true,950375,2353,14203.340,22863.320,1.609714,28,22,true,true,ok
irregular3,9,15,144,1080,50,200000,dependency,true,2431000,3692,11423.320,43590.840,3.815952,27,23,true,true,ok
irregular3,9,31,288,2232,50,200000,dependency,true,3353833,3729,14989.180,183712.500,12.256341,27,23,true,true,ok
