kind,width,horizon,variables,clauses,queries,node_limit,order,admitted,recognition_ns,bdd_nodes,preimage_ns_per_query,incremental_varisat_ns_per_query,speedup_vs_incremental,sat_queries,unsat_queries,agreement,witnesses_valid,status
hub3,7,7,56,392,50,200000,natural,true,524875,560,3958.340,11307.500,2.856627,23,27,true,true,ok
hub3,7,15,112,840,50,200000,natural,true,1393958,573,9187.500,48179.160,5.243990,14,36,true,true,ok
hub3,7,31,224,1736,50,200000,natural,true,1560833,573,5080.820,43565.820,8.574565,11,39,true,true,ok
hub3,9,7,72,504,50,200000,natural,true,1219334,1276,13599.180,43003.340,3.162201,29,21,true,true,ok
hub3,9,15,144,1080,50,200000,natural,true,1846708,1573,13927.500,41610.000,2.987614,13,37,true,true,ok
hub3,9,31,288,2232,50,200000,natural,true,4864292,1573,10394.180,198017.500,19.050805,11,39,true,true,ok
tree3,7,7,56,392,50,200000,natural,true,289541,376,2694.160,14376.660,5.336231,22,28,true,true,ok
tree3,7,15,112,840,50,200000,natural,true,776709,376,6477.500,52569.160,8.115656,19,31,true,true,ok
tree3,7,31,224,1736,50,200000,natural,true,849875,376,3494.160,209735.840,60.024681,21,29,true,true,ok
tree3,9,7,72,504,50,200000,natural,true,721250,1001,12677.500,15250.820,1.202983,30,20,true,true,ok
tree3,9,15,144,1080,50,200000,natural,true,1510625,1001,4539.160,54945.820,12.104843,17,33,true,true,ok
tree3,9,31,288,2232,50,200000,natural,true,2848459,1001,5266.660,317890.000,60.358937,27,23,true,true,ok
irregular3,7,7,56,392,50,200000,natural,true,405416,1154,4175.000,28041.660,6.716565,31,19,true,true,ok
irregular3,7,15,112,840,50,200000,natural,true,1980583,1305,10915.000,120871.660,11.073904,25,25,true,true,ok
irregular3,7,31,224,1736,50,200000,natural,true,2982375,1305,4697.500,196390.000,41.807344,26,24,true,true,ok
irregular3,9,7,72,504,50,200000,natural,true,1774791,2532,15300.000,22549.180,1.473803,28,22,true,true,ok
irregular3,9,15,144,1080,50,200000,natural,true,3998375,4342,24332.500,54470.840,2.238604,27,23,true,true,ok
irregular3,9,31,288,2232,50,200000,natural,true,4751625,4389,25508.320,191266.680,7.498208,27,23,true,true,ok
