kind,width,horizon,variables,clauses,queries,node_limit,order,admitted,recognition_ns,bdd_nodes,preimage_ns_per_query,incremental_varisat_ns_per_query,speedup_vs_incremental,sat_queries,unsat_queries,agreement,witnesses_valid,status
hub3,7,7,56,392,50,200000,reverse,true,1040250,490,9287.500,37838.340,4.074115,23,27,true,true,ok
hub3,7,15,112,840,50,200000,reverse,true,1512916,500,9394.160,36408.340,3.875636,14,36,true,true,ok
hub3,7,31,224,1736,50,200000,reverse,true,2528500,500,2648.320,58545.000,22.106467,11,39,true,true,ok
hub3,9,7,72,504,50,200000,reverse,true,1490625,1092,16049.160,16531.660,1.030064,29,21,true,true,ok
hub3,9,15,144,1080,50,200000,reverse,true,3464167,1351,24494.160,36166.660,1.476542,13,37,true,true,ok
hub3,9,31,288,2232,50,200000,reverse,true,12396834,1351,6491.660,107787.500,16.603997,11,39,true,true,ok
tree3,7,7,56,392,50,200000,reverse,true,470584,296,6612.500,22143.340,3.348709,22,28,true,true,ok
tree3,7,15,112,840,50,200000,reverse,true,835458,296,7132.500,49970.820,7.006074,19,31,true,true,ok
tree3,7,31,224,1736,50,200000,reverse,true,1054250,296,4007.500,170949.180,42.657313,21,29,true,true,ok
tree3,9,7,72,504,50,200000,reverse,true,506708,952,14746.660,19096.660,1.294982,30,20,true,true,ok
tree3,9,15,144,1080,50,200000,reverse,true,1608375,952,9046.660,90769.160,10.033444,17,33,true,true,ok
tree3,9,31,288,2232,50,200000,reverse,true,4111209,952,18472.500,360172.500,19.497767,27,23,true,true,ok
irregular3,7,7,56,392,50,200000,reverse,true,2094959,1175,7813.320,31150.840,3.986889,31,19,true,true,ok
irregular3,7,15,112,840,50,200000,reverse,true,1552166,1336,8484.160,66315.000,7.816331,25,25,true,true,ok
irregular3,7,31,224,1736,50,200000,reverse,true,2372875,1336,4940.000,184899.180,37.428984,26,24,true,true,ok
irregular3,9,7,72,504,50,200000,reverse,true,1108417,2822,12711.680,21158.340,1.664480,28,22,true,true,ok
irregular3,9,15,144,1080,50,200000,reverse,true,5081875,4633,24085.000,53222.500,2.209778,27,23,true,true,ok
irregular3,9,31,288,2232,50,200000,reverse,true,6441667,4711,15123.340,136942.500,9.055043,27,23,true,true,ok
