schema_version,profile,operation,trial,artifact_bytes,elapsed_micros,assignments_checked,answers_agree,status
1,compact,create,1,8549,2360981,131072,true,ok
1,compact,verify,1,8549,1228781,131072,true,ok
1,proof,create,1,251221,1508914,0,true,ok
1,proof,verify,1,251221,473512,0,true,ok
1,compact,create,2,8549,2389592,131072,true,ok
1,compact,verify,2,8549,962170,131072,true,ok
1,proof,create,2,251221,1453698,0,true,ok
1,proof,verify,2,251221,482849,0,true,ok
1,compact,create,3,8549,2379291,131072,true,ok
1,compact,verify,3,8549,944475,131072,true,ok
1,proof,create,3,251221,1431575,0,true,ok
1,proof,verify,3,251221,476591,0,true,ok
1,compact,create,4,8549,2442924,131072,true,ok
1,compact,verify,4,8549,979093,131072,true,ok
1,proof,create,4,251221,1505274,0,true,ok
1,proof,verify,4,251221,488814,0,true,ok
1,compact,create,5,8549,2452989,131072,true,ok
1,compact,verify,5,8549,963502,131072,true,ok
1,proof,create,5,251221,1449867,0,true,ok
1,proof,verify,5,251221,485015,0,true,ok
