schema_version,profile,operation,trial,elapsed_seconds,peak_rss_bytes,time_backend,platform
1,compact,create,1,3.79,15859712,gnu,Linux-x86_64
1,compact,verify,1,1.52,5537792,gnu,Linux-x86_64
1,proof,create,1,2.32,15921152,gnu,Linux-x86_64
1,proof,verify,1,0.76,9695232,gnu,Linux-x86_64
1,compact,create,2,3.75,16179200,gnu,Linux-x86_64
1,compact,verify,2,1.49,5541888,gnu,Linux-x86_64
1,proof,create,2,2.30,16535552,gnu,Linux-x86_64
1,proof,verify,2,0.76,9834496,gnu,Linux-x86_64
1,compact,create,3,3.77,16461824,gnu,Linux-x86_64
1,compact,verify,3,1.52,5505024,gnu,Linux-x86_64
1,proof,create,3,2.30,16732160,gnu,Linux-x86_64
1,proof,verify,3,0.76,9797632,gnu,Linux-x86_64
