schema_version,input_sha256,contract_sha256,bad_output,horizon,relevant_inputs,latches,phases,trial,result,certificate_generate_ns,certificate_verify_ns,cdcl_query_ns,certificate_bytes,raw_proof_bytes,proof_count,direct_evaluations,answers_agree,status
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,499317b6eca59bd3852ad4c516a2944515e86d639803ca9fd59a481512286958,0,16,12,3,2,0,avoidable,17706667,825541,364167,27838,11408,17,153,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,499317b6eca59bd3852ad4c516a2944515e86d639803ca9fd59a481512286958,0,16,12,3,2,1,avoidable,16297042,720334,394084,27838,11408,17,153,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,499317b6eca59bd3852ad4c516a2944515e86d639803ca9fd59a481512286958,0,16,12,3,2,2,avoidable,21793708,716334,248250,27838,11408,17,153,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,499317b6eca59bd3852ad4c516a2944515e86d639803ca9fd59a481512286958,0,16,12,3,2,3,avoidable,18941583,946834,311792,27838,11408,17,153,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,499317b6eca59bd3852ad4c516a2944515e86d639803ca9fd59a481512286958,0,16,12,3,2,4,avoidable,18587750,698625,304083,27838,11408,17,153,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,499317b6eca59bd3852ad4c516a2944515e86d639803ca9fd59a481512286958,0,16,12,3,2,5,avoidable,18707250,783958,332042,27838,11408,17,153,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,499317b6eca59bd3852ad4c516a2944515e86d639803ca9fd59a481512286958,0,16,12,3,2,6,avoidable,19278042,684084,327542,27838,11408,17,153,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,499317b6eca59bd3852ad4c516a2944515e86d639803ca9fd59a481512286958,0,16,12,3,2,7,avoidable,17097834,707333,317250,27838,11408,17,153,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,499317b6eca59bd3852ad4c516a2944515e86d639803ca9fd59a481512286958,0,16,12,3,2,8,avoidable,17192458,765250,317166,27838,11408,17,153,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,499317b6eca59bd3852ad4c516a2944515e86d639803ca9fd59a481512286958,0,16,12,3,2,9,avoidable,17539291,943833,275083,27838,11408,17,153,true,ok
