schema_version,input_sha256,contract_sha256,bad_output,horizon,relevant_inputs,latches,phases,trial,result,certificate_generate_ns,certificate_verify_ns,cdcl_query_ns,certificate_bytes,raw_proof_bytes,proof_count,direct_evaluations,answers_agree,status
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,33acb744d25c0c8bf49bd4ea4831c8ffb08586c40b599bd05bf24dd3a4020ac8,0,8,9,2,2,0,avoidable,17675208,761167,254084,17674,7773,9,45,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,33acb744d25c0c8bf49bd4ea4831c8ffb08586c40b599bd05bf24dd3a4020ac8,0,8,9,2,2,1,avoidable,14761292,582125,297209,17674,7773,9,45,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,33acb744d25c0c8bf49bd4ea4831c8ffb08586c40b599bd05bf24dd3a4020ac8,0,8,9,2,2,2,avoidable,10505417,593459,249459,17674,7773,9,45,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,33acb744d25c0c8bf49bd4ea4831c8ffb08586c40b599bd05bf24dd3a4020ac8,0,8,9,2,2,3,avoidable,9138584,486000,261083,17674,7773,9,45,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,33acb744d25c0c8bf49bd4ea4831c8ffb08586c40b599bd05bf24dd3a4020ac8,0,8,9,2,2,4,avoidable,10831625,610959,243209,17674,7773,9,45,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,33acb744d25c0c8bf49bd4ea4831c8ffb08586c40b599bd05bf24dd3a4020ac8,0,8,9,2,2,5,avoidable,11023375,741750,218250,17674,7773,9,45,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,33acb744d25c0c8bf49bd4ea4831c8ffb08586c40b599bd05bf24dd3a4020ac8,0,8,9,2,2,6,avoidable,10536875,938542,460625,17674,7773,9,45,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,33acb744d25c0c8bf49bd4ea4831c8ffb08586c40b599bd05bf24dd3a4020ac8,0,8,9,2,2,7,avoidable,11395875,705084,224250,17674,7773,9,45,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,33acb744d25c0c8bf49bd4ea4831c8ffb08586c40b599bd05bf24dd3a4020ac8,0,8,9,2,2,8,avoidable,10577917,677458,260291,17674,7773,9,45,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,33acb744d25c0c8bf49bd4ea4831c8ffb08586c40b599bd05bf24dd3a4020ac8,0,8,9,2,2,9,avoidable,8854500,592625,251458,17674,7773,9,45,true,ok
