schema_version,input_sha256,contract_sha256,bad_output,horizon,relevant_inputs,latches,phases,trial,result,certificate_generate_ns,certificate_verify_ns,cdcl_query_ns,certificate_bytes,raw_proof_bytes,proof_count,direct_evaluations,answers_agree,status
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,c8ac93801263cfb229ef78b3b957f86e2f5369c6bd8148dc95ccb6ec8b484625,0,32,16,4,2,0,avoidable,63377250,1547542,682709,84033,33936,33,561,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,c8ac93801263cfb229ef78b3b957f86e2f5369c6bd8148dc95ccb6ec8b484625,0,32,16,4,2,1,avoidable,68408791,2004417,566250,84033,33936,33,561,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,c8ac93801263cfb229ef78b3b957f86e2f5369c6bd8148dc95ccb6ec8b484625,0,32,16,4,2,2,avoidable,62609291,1416584,586250,84033,33936,33,561,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,c8ac93801263cfb229ef78b3b957f86e2f5369c6bd8148dc95ccb6ec8b484625,0,32,16,4,2,3,avoidable,65805250,1425334,549333,84033,33936,33,561,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,c8ac93801263cfb229ef78b3b957f86e2f5369c6bd8148dc95ccb6ec8b484625,0,32,16,4,2,4,avoidable,64571958,1578167,558583,84033,33936,33,561,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,c8ac93801263cfb229ef78b3b957f86e2f5369c6bd8148dc95ccb6ec8b484625,0,32,16,4,2,5,avoidable,76687708,2068125,1143166,84033,33936,33,561,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,c8ac93801263cfb229ef78b3b957f86e2f5369c6bd8148dc95ccb6ec8b484625,0,32,16,4,2,6,avoidable,75931209,1562334,580334,84033,33936,33,561,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,c8ac93801263cfb229ef78b3b957f86e2f5369c6bd8148dc95ccb6ec8b484625,0,32,16,4,2,7,avoidable,85514500,1751375,561709,84033,33936,33,561,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,c8ac93801263cfb229ef78b3b957f86e2f5369c6bd8148dc95ccb6ec8b484625,0,32,16,4,2,8,avoidable,67225292,1553000,654750,84033,33936,33,561,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,c8ac93801263cfb229ef78b3b957f86e2f5369c6bd8148dc95ccb6ec8b484625,0,32,16,4,2,9,avoidable,64713708,1747209,578083,84033,33936,33,561,true,ok
