schema_version,input_sha256,contract_sha256,bad_output,horizon,relevant_inputs,latches,phases,trial,result,certificate_generate_ns,certificate_verify_ns,cdcl_query_ns,certificate_bytes,raw_proof_bytes,proof_count,direct_evaluations,answers_agree,status
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,c4cfecf6c9bf7c9019648cd8fc706edf30ed36e9a53da75d8edb634515985ea5,0,1,12,3,1,0,unavoidable,14309959,581375,52334,11329,4788,9,15,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,c4cfecf6c9bf7c9019648cd8fc706edf30ed36e9a53da75d8edb634515985ea5,0,1,12,3,1,1,unavoidable,9884000,302166,45292,11329,4788,9,15,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,c4cfecf6c9bf7c9019648cd8fc706edf30ed36e9a53da75d8edb634515985ea5,0,1,12,3,1,2,unavoidable,9770167,286584,39667,11329,4788,9,15,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,c4cfecf6c9bf7c9019648cd8fc706edf30ed36e9a53da75d8edb634515985ea5,0,1,12,3,1,3,unavoidable,9237167,274417,37792,11329,4788,9,15,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,c4cfecf6c9bf7c9019648cd8fc706edf30ed36e9a53da75d8edb634515985ea5,0,1,12,3,1,4,unavoidable,9855209,306917,40084,11329,4788,9,15,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,c4cfecf6c9bf7c9019648cd8fc706edf30ed36e9a53da75d8edb634515985ea5,0,1,12,3,1,5,unavoidable,9164208,288667,39917,11329,4788,9,15,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,c4cfecf6c9bf7c9019648cd8fc706edf30ed36e9a53da75d8edb634515985ea5,0,1,12,3,1,6,unavoidable,9808084,274000,37542,11329,4788,9,15,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,c4cfecf6c9bf7c9019648cd8fc706edf30ed36e9a53da75d8edb634515985ea5,0,1,12,3,1,7,unavoidable,9291958,280459,38792,11329,4788,9,15,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,c4cfecf6c9bf7c9019648cd8fc706edf30ed36e9a53da75d8edb634515985ea5,0,1,12,3,1,8,unavoidable,9829375,319542,44959,11329,4788,9,15,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,c4cfecf6c9bf7c9019648cd8fc706edf30ed36e9a53da75d8edb634515985ea5,0,1,12,3,1,9,unavoidable,9156833,279042,38667,11329,4788,9,15,true,ok
