schema_version,input_sha256,contract_sha256,bad_output,horizon,relevant_inputs,latches,phases,trial,result,certificate_generate_ns,certificate_verify_ns,cdcl_query_ns,certificate_bytes,raw_proof_bytes,proof_count,direct_evaluations,answers_agree,status
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,499317b6eca59bd3852ad4c516a2944515e86d639803ca9fd59a481512286958,0,16,12,3,2,0,avoidable,19608709,713833,339875,27838,11408,17,153,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,499317b6eca59bd3852ad4c516a2944515e86d639803ca9fd59a481512286958,0,16,12,3,2,1,avoidable,18373875,572750,262708,27838,11408,17,153,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,499317b6eca59bd3852ad4c516a2944515e86d639803ca9fd59a481512286958,0,16,12,3,2,2,avoidable,16110666,687292,264209,27838,11408,17,153,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,499317b6eca59bd3852ad4c516a2944515e86d639803ca9fd59a481512286958,0,16,12,3,2,3,avoidable,16669041,561208,281834,27838,11408,17,153,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,499317b6eca59bd3852ad4c516a2944515e86d639803ca9fd59a481512286958,0,16,12,3,2,4,avoidable,17215292,548417,260167,27838,11408,17,153,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,499317b6eca59bd3852ad4c516a2944515e86d639803ca9fd59a481512286958,0,16,12,3,2,5,avoidable,17672125,713875,294209,27838,11408,17,153,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,499317b6eca59bd3852ad4c516a2944515e86d639803ca9fd59a481512286958,0,16,12,3,2,6,avoidable,17034875,1150833,573708,27838,11408,17,153,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,499317b6eca59bd3852ad4c516a2944515e86d639803ca9fd59a481512286958,0,16,12,3,2,7,avoidable,16591042,697916,306375,27838,11408,17,153,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,499317b6eca59bd3852ad4c516a2944515e86d639803ca9fd59a481512286958,0,16,12,3,2,8,avoidable,17581167,665667,275666,27838,11408,17,153,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,499317b6eca59bd3852ad4c516a2944515e86d639803ca9fd59a481512286958,0,16,12,3,2,9,avoidable,16688416,544584,248000,27838,11408,17,153,true,ok
