schema_version,input_sha256,contract_sha256,bad_output,horizon,relevant_inputs,latches,phases,trial,result,certificate_generate_ns,certificate_verify_ns,cdcl_query_ns,certificate_bytes,raw_proof_bytes,proof_count,direct_evaluations,answers_agree,status
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,33acb744d25c0c8bf49bd4ea4831c8ffb08586c40b599bd05bf24dd3a4020ac8,0,8,9,2,2,0,avoidable,17954208,1042542,542125,17674,7773,9,45,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,33acb744d25c0c8bf49bd4ea4831c8ffb08586c40b599bd05bf24dd3a4020ac8,0,8,9,2,2,1,avoidable,21489833,577916,263875,17674,7773,9,45,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,33acb744d25c0c8bf49bd4ea4831c8ffb08586c40b599bd05bf24dd3a4020ac8,0,8,9,2,2,2,avoidable,11600042,659583,272833,17674,7773,9,45,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,33acb744d25c0c8bf49bd4ea4831c8ffb08586c40b599bd05bf24dd3a4020ac8,0,8,9,2,2,3,avoidable,11135958,667833,229125,17674,7773,9,45,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,33acb744d25c0c8bf49bd4ea4831c8ffb08586c40b599bd05bf24dd3a4020ac8,0,8,9,2,2,4,avoidable,11399167,582166,266000,17674,7773,9,45,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,33acb744d25c0c8bf49bd4ea4831c8ffb08586c40b599bd05bf24dd3a4020ac8,0,8,9,2,2,5,avoidable,11134875,460500,216791,17674,7773,9,45,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,33acb744d25c0c8bf49bd4ea4831c8ffb08586c40b599bd05bf24dd3a4020ac8,0,8,9,2,2,6,avoidable,10988167,468250,249084,17674,7773,9,45,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,33acb744d25c0c8bf49bd4ea4831c8ffb08586c40b599bd05bf24dd3a4020ac8,0,8,9,2,2,7,avoidable,11378958,454875,219541,17674,7773,9,45,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,33acb744d25c0c8bf49bd4ea4831c8ffb08586c40b599bd05bf24dd3a4020ac8,0,8,9,2,2,8,avoidable,10892375,449125,213708,17674,7773,9,45,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,33acb744d25c0c8bf49bd4ea4831c8ffb08586c40b599bd05bf24dd3a4020ac8,0,8,9,2,2,9,avoidable,11222917,914250,421333,17674,7773,9,45,true,ok
