schema_version,input_sha256,contract_sha256,bad_output,horizon,relevant_inputs,latches,phases,trial,producer_ns,proof_generation_ns,proof_verification_ns,obligations,witnesses,proof_bytes,status
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,33acb744d25c0c8bf49bd4ea4831c8ffb08586c40b599bd05bf24dd3a4020ac8,0,8,9,2,2,0,405167,752917,441042,9,36,7773,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,33acb744d25c0c8bf49bd4ea4831c8ffb08586c40b599bd05bf24dd3a4020ac8,0,8,9,2,2,1,384000,243041,291208,9,36,7773,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,33acb744d25c0c8bf49bd4ea4831c8ffb08586c40b599bd05bf24dd3a4020ac8,0,8,9,2,2,2,495250,263792,276500,9,36,7773,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,33acb744d25c0c8bf49bd4ea4831c8ffb08586c40b599bd05bf24dd3a4020ac8,0,8,9,2,2,3,318000,225959,251958,9,36,7773,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,33acb744d25c0c8bf49bd4ea4831c8ffb08586c40b599bd05bf24dd3a4020ac8,0,8,9,2,2,4,312250,252708,269500,9,36,7773,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,33acb744d25c0c8bf49bd4ea4831c8ffb08586c40b599bd05bf24dd3a4020ac8,0,8,9,2,2,5,319167,221583,242083,9,36,7773,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,33acb744d25c0c8bf49bd4ea4831c8ffb08586c40b599bd05bf24dd3a4020ac8,0,8,9,2,2,6,302042,216708,239458,9,36,7773,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,33acb744d25c0c8bf49bd4ea4831c8ffb08586c40b599bd05bf24dd3a4020ac8,0,8,9,2,2,7,301875,219875,241667,9,36,7773,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,33acb744d25c0c8bf49bd4ea4831c8ffb08586c40b599bd05bf24dd3a4020ac8,0,8,9,2,2,8,298542,215750,241250,9,36,7773,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,33acb744d25c0c8bf49bd4ea4831c8ffb08586c40b599bd05bf24dd3a4020ac8,0,8,9,2,2,9,295625,217458,383042,9,36,7773,ok
