schema_version,input_sha256,contract_sha256,bad_output,horizon,relevant_inputs,latches,phases,trial,producer_ns,proof_generation_ns,proof_verification_ns,obligations,witnesses,proof_bytes,status
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,c8ac93801263cfb229ef78b3b957f86e2f5369c6bd8148dc95ccb6ec8b484625,0,32,16,4,2,0,37955291,1255250,1406583,33,528,33936,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,c8ac93801263cfb229ef78b3b957f86e2f5369c6bd8148dc95ccb6ec8b484625,0,32,16,4,2,1,30386875,1465959,1452833,33,528,33936,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,c8ac93801263cfb229ef78b3b957f86e2f5369c6bd8148dc95ccb6ec8b484625,0,32,16,4,2,2,30455833,1002292,1282667,33,528,33936,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,c8ac93801263cfb229ef78b3b957f86e2f5369c6bd8148dc95ccb6ec8b484625,0,32,16,4,2,3,29179625,1153292,1262834,33,528,33936,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,c8ac93801263cfb229ef78b3b957f86e2f5369c6bd8148dc95ccb6ec8b484625,0,32,16,4,2,4,28135625,919958,942917,33,528,33936,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,c8ac93801263cfb229ef78b3b957f86e2f5369c6bd8148dc95ccb6ec8b484625,0,32,16,4,2,5,27145792,1010875,1040834,33,528,33936,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,c8ac93801263cfb229ef78b3b957f86e2f5369c6bd8148dc95ccb6ec8b484625,0,32,16,4,2,6,28189958,906542,931917,33,528,33936,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,c8ac93801263cfb229ef78b3b957f86e2f5369c6bd8148dc95ccb6ec8b484625,0,32,16,4,2,7,27203292,1399208,1025542,33,528,33936,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,c8ac93801263cfb229ef78b3b957f86e2f5369c6bd8148dc95ccb6ec8b484625,0,32,16,4,2,8,29674958,1094791,1061875,33,528,33936,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,c8ac93801263cfb229ef78b3b957f86e2f5369c6bd8148dc95ccb6ec8b484625,0,32,16,4,2,9,28633708,915041,899208,33,528,33936,ok
