schema_version,manifest_sha256,cadical_sha256,drat_trim_sha256,obligation,kind,phase,source,cnf_bytes,proof_bytes,produce_ns,check_ns,producer_status,checker_status,status
1,49ab2365b7aaf130332eaa689f8fa097bfffdcedcca3db2d81816274275171ab,10ec064cf543381fbb3c6d3dca7443ddf713b4f7868cf11f46244f185894dd74,31df522b8b2b71acd357723b0e826cf488826ed78ad9e3a7bcad241271812beb,phase-0000-source-0000.cnf,relation-completeness,0,0,1530,983,9695000,30056000,20,0,ok
1,49ab2365b7aaf130332eaa689f8fa097bfffdcedcca3db2d81816274275171ab,10ec064cf543381fbb3c6d3dca7443ddf713b4f7868cf11f46244f185894dd74,31df522b8b2b71acd357723b0e826cf488826ed78ad9e3a7bcad241271812beb,phase-0000-source-0001.cnf,relation-completeness,0,1,1529,953,8037000,30275000,20,0,ok
1,49ab2365b7aaf130332eaa689f8fa097bfffdcedcca3db2d81816274275171ab,10ec064cf543381fbb3c6d3dca7443ddf713b4f7868cf11f46244f185894dd74,31df522b8b2b71acd357723b0e826cf488826ed78ad9e3a7bcad241271812beb,phase-0000-source-0002.cnf,relation-completeness,0,2,1529,953,8041000,29527000,20,0,ok
1,49ab2365b7aaf130332eaa689f8fa097bfffdcedcca3db2d81816274275171ab,10ec064cf543381fbb3c6d3dca7443ddf713b4f7868cf11f46244f185894dd74,31df522b8b2b71acd357723b0e826cf488826ed78ad9e3a7bcad241271812beb,phase-0000-source-0003.cnf,relation-completeness,0,3,1528,633,8496000,31525000,20,0,ok
1,49ab2365b7aaf130332eaa689f8fa097bfffdcedcca3db2d81816274275171ab,10ec064cf543381fbb3c6d3dca7443ddf713b4f7868cf11f46244f185894dd74,31df522b8b2b71acd357723b0e826cf488826ed78ad9e3a7bcad241271812beb,phase-0001-source-0000.cnf,relation-completeness,1,0,1530,983,7996000,28895000,20,0,ok
1,49ab2365b7aaf130332eaa689f8fa097bfffdcedcca3db2d81816274275171ab,10ec064cf543381fbb3c6d3dca7443ddf713b4f7868cf11f46244f185894dd74,31df522b8b2b71acd357723b0e826cf488826ed78ad9e3a7bcad241271812beb,phase-0001-source-0001.cnf,relation-completeness,1,1,1529,953,7986000,28359000,20,0,ok
1,49ab2365b7aaf130332eaa689f8fa097bfffdcedcca3db2d81816274275171ab,10ec064cf543381fbb3c6d3dca7443ddf713b4f7868cf11f46244f185894dd74,31df522b8b2b71acd357723b0e826cf488826ed78ad9e3a7bcad241271812beb,phase-0001-source-0002.cnf,relation-completeness,1,2,1529,953,7837000,29141000,20,0,ok
1,49ab2365b7aaf130332eaa689f8fa097bfffdcedcca3db2d81816274275171ab,10ec064cf543381fbb3c6d3dca7443ddf713b4f7868cf11f46244f185894dd74,31df522b8b2b71acd357723b0e826cf488826ed78ad9e3a7bcad241271812beb,phase-0001-source-0003.cnf,relation-completeness,1,3,1528,649,8026000,30588000,20,0,ok
1,49ab2365b7aaf130332eaa689f8fa097bfffdcedcca3db2d81816274275171ab,10ec064cf543381fbb3c6d3dca7443ddf713b4f7868cf11f46244f185894dd74,31df522b8b2b71acd357723b0e826cf488826ed78ad9e3a7bcad241271812beb,terminal.cnf,terminal-completeness,-,-,1506,644,7843000,29092000,20,0,ok
1,49ab2365b7aaf130332eaa689f8fa097bfffdcedcca3db2d81816274275171ab,10ec064cf543381fbb3c6d3dca7443ddf713b4f7868cf11f46244f185894dd74,31df522b8b2b71acd357723b0e826cf488826ed78ad9e3a7bcad241271812beb,aggregate.cnf,aggregate-completeness,-,-,23604,26864,9620000,31556000,20,0,ok
