schema_version,manifest_sha256,cadical_sha256,drat_trim_sha256,obligation,kind,phase,source,cnf_bytes,proof_bytes,produce_ns,check_ns,producer_status,checker_status,status
1,bcbedc67309dac62416a1c08960bc040e0a90ab9b37fca40e24784637f1d3745,10ec064cf543381fbb3c6d3dca7443ddf713b4f7868cf11f46244f185894dd74,31df522b8b2b71acd357723b0e826cf488826ed78ad9e3a7bcad241271812beb,phase-0000-source-0000.cnf,relation-completeness,0,0,1444,736,8325000,28447000,20,0,ok
1,bcbedc67309dac62416a1c08960bc040e0a90ab9b37fca40e24784637f1d3745,10ec064cf543381fbb3c6d3dca7443ddf713b4f7868cf11f46244f185894dd74,31df522b8b2b71acd357723b0e826cf488826ed78ad9e3a7bcad241271812beb,phase-0000-source-0001.cnf,relation-completeness,0,1,1443,736,7804000,30436000,20,0,ok
1,bcbedc67309dac62416a1c08960bc040e0a90ab9b37fca40e24784637f1d3745,10ec064cf543381fbb3c6d3dca7443ddf713b4f7868cf11f46244f185894dd74,31df522b8b2b71acd357723b0e826cf488826ed78ad9e3a7bcad241271812beb,phase-0000-source-0002.cnf,relation-completeness,0,2,1443,736,8411000,30074000,20,0,ok
1,bcbedc67309dac62416a1c08960bc040e0a90ab9b37fca40e24784637f1d3745,10ec064cf543381fbb3c6d3dca7443ddf713b4f7868cf11f46244f185894dd74,31df522b8b2b71acd357723b0e826cf488826ed78ad9e3a7bcad241271812beb,phase-0000-source-0003.cnf,relation-completeness,0,3,1442,735,8891000,28070000,20,0,ok
1,bcbedc67309dac62416a1c08960bc040e0a90ab9b37fca40e24784637f1d3745,10ec064cf543381fbb3c6d3dca7443ddf713b4f7868cf11f46244f185894dd74,31df522b8b2b71acd357723b0e826cf488826ed78ad9e3a7bcad241271812beb,phase-0000-source-0004.cnf,relation-completeness,0,4,1443,736,9066000,28318000,20,0,ok
1,bcbedc67309dac62416a1c08960bc040e0a90ab9b37fca40e24784637f1d3745,10ec064cf543381fbb3c6d3dca7443ddf713b4f7868cf11f46244f185894dd74,31df522b8b2b71acd357723b0e826cf488826ed78ad9e3a7bcad241271812beb,phase-0000-source-0005.cnf,relation-completeness,0,5,1442,736,9247000,28161000,20,0,ok
1,bcbedc67309dac62416a1c08960bc040e0a90ab9b37fca40e24784637f1d3745,10ec064cf543381fbb3c6d3dca7443ddf713b4f7868cf11f46244f185894dd74,31df522b8b2b71acd357723b0e826cf488826ed78ad9e3a7bcad241271812beb,phase-0000-source-0006.cnf,relation-completeness,0,6,1442,736,12751000,33628000,20,0,ok
1,bcbedc67309dac62416a1c08960bc040e0a90ab9b37fca40e24784637f1d3745,10ec064cf543381fbb3c6d3dca7443ddf713b4f7868cf11f46244f185894dd74,31df522b8b2b71acd357723b0e826cf488826ed78ad9e3a7bcad241271812beb,phase-0000-source-0007.cnf,relation-completeness,0,7,1441,735,8410000,29657000,20,0,ok
1,bcbedc67309dac62416a1c08960bc040e0a90ab9b37fca40e24784637f1d3745,10ec064cf543381fbb3c6d3dca7443ddf713b4f7868cf11f46244f185894dd74,31df522b8b2b71acd357723b0e826cf488826ed78ad9e3a7bcad241271812beb,phase-0000-source-0008.cnf,relation-completeness,0,8,1443,736,11383000,29377000,20,0,ok
1,bcbedc67309dac62416a1c08960bc040e0a90ab9b37fca40e24784637f1d3745,10ec064cf543381fbb3c6d3dca7443ddf713b4f7868cf11f46244f185894dd74,31df522b8b2b71acd357723b0e826cf488826ed78ad9e3a7bcad241271812beb,phase-0000-source-0009.cnf,relation-completeness,0,9,1442,736,8143000,28676000,20,0,ok
1,bcbedc67309dac62416a1c08960bc040e0a90ab9b37fca40e24784637f1d3745,10ec064cf543381fbb3c6d3dca7443ddf713b4f7868cf11f46244f185894dd74,31df522b8b2b71acd357723b0e826cf488826ed78ad9e3a7bcad241271812beb,phase-0000-source-0010.cnf,relation-completeness,0,10,1442,736,7730000,28295000,20,0,ok
1,bcbedc67309dac62416a1c08960bc040e0a90ab9b37fca40e24784637f1d3745,10ec064cf543381fbb3c6d3dca7443ddf713b4f7868cf11f46244f185894dd74,31df522b8b2b71acd357723b0e826cf488826ed78ad9e3a7bcad241271812beb,phase-0000-source-0011.cnf,relation-completeness,0,11,1441,735,8204000,28129000,20,0,ok
1,bcbedc67309dac62416a1c08960bc040e0a90ab9b37fca40e24784637f1d3745,10ec064cf543381fbb3c6d3dca7443ddf713b4f7868cf11f46244f185894dd74,31df522b8b2b71acd357723b0e826cf488826ed78ad9e3a7bcad241271812beb,phase-0000-source-0012.cnf,relation-completeness,0,12,1442,735,8107000,28229000,20,0,ok
