schema_version,manifest_sha256,cadical_sha256,drat_trim_sha256,obligation,kind,phase,source,cnf_bytes,proof_bytes,produce_ns,check_ns,producer_status,checker_status,status
1,40ffa455db50293aefde09c19acef8c4424132cd393e91ff9665fc8304517bae,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,phase-0000-source-0000.cnf,relation-completeness,0,0,1016,1102,4481542,37867001,20,0,ok
1,40ffa455db50293aefde09c19acef8c4424132cd393e91ff9665fc8304517bae,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,phase-0000-source-0001.cnf,relation-completeness,0,1,1015,1102,3439500,31262000,20,0,ok
1,40ffa455db50293aefde09c19acef8c4424132cd393e91ff9665fc8304517bae,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,phase-0000-source-0002.cnf,relation-completeness,0,2,1015,1102,5306167,62608667,20,0,ok
1,40ffa455db50293aefde09c19acef8c4424132cd393e91ff9665fc8304517bae,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,phase-0000-source-0003.cnf,relation-completeness,0,3,1014,1101,6796708,71421292,20,0,ok
1,40ffa455db50293aefde09c19acef8c4424132cd393e91ff9665fc8304517bae,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,phase-0000-source-0004.cnf,relation-completeness,0,4,1015,1102,7184708,59405708,20,0,ok
1,40ffa455db50293aefde09c19acef8c4424132cd393e91ff9665fc8304517bae,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,phase-0000-source-0005.cnf,relation-completeness,0,5,1014,1102,5215333,62853000,20,0,ok
1,40ffa455db50293aefde09c19acef8c4424132cd393e91ff9665fc8304517bae,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,phase-0000-source-0006.cnf,relation-completeness,0,6,1014,1102,10491958,47193583,20,0,ok
1,40ffa455db50293aefde09c19acef8c4424132cd393e91ff9665fc8304517bae,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,phase-0000-source-0007.cnf,relation-completeness,0,7,1013,1004,4581292,62528291,20,0,ok
1,40ffa455db50293aefde09c19acef8c4424132cd393e91ff9665fc8304517bae,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,terminal.cnf,terminal-completeness,-,-,1100,1318,8093667,65706541,20,0,ok
1,40ffa455db50293aefde09c19acef8c4424132cd393e91ff9665fc8304517bae,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,aggregate.cnf,aggregate-completeness,-,-,15980,18427,6638583,57670542,20,0,ok
