schema_version,manifest_sha256,cadical_sha256,drat_trim_sha256,obligation,kind,phase,source,cnf_bytes,proof_bytes,produce_ns,check_ns,producer_status,checker_status,status
1,a376dce82c7d0d345b49ec852e955202b593d39a04dad686c1c29a17129ba517,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,phase-0000-source-0000.cnf,relation-completeness,0,0,1073,541,4448041,55377000,20,0,ok
1,a376dce82c7d0d345b49ec852e955202b593d39a04dad686c1c29a17129ba517,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,phase-0000-source-0001.cnf,relation-completeness,0,1,1072,541,4825083,59959042,20,0,ok
1,a376dce82c7d0d345b49ec852e955202b593d39a04dad686c1c29a17129ba517,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,phase-0000-source-0002.cnf,relation-completeness,0,2,1072,541,7464375,41389666,20,0,ok
1,a376dce82c7d0d345b49ec852e955202b593d39a04dad686c1c29a17129ba517,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,phase-0000-source-0003.cnf,relation-completeness,0,3,1071,540,4263875,58275708,20,0,ok
1,a376dce82c7d0d345b49ec852e955202b593d39a04dad686c1c29a17129ba517,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,phase-0000-source-0004.cnf,relation-completeness,0,4,1072,541,4884500,55095583,20,0,ok
1,a376dce82c7d0d345b49ec852e955202b593d39a04dad686c1c29a17129ba517,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,phase-0000-source-0005.cnf,relation-completeness,0,5,1071,541,4600292,57418625,20,0,ok
1,a376dce82c7d0d345b49ec852e955202b593d39a04dad686c1c29a17129ba517,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,phase-0000-source-0006.cnf,relation-completeness,0,6,1071,541,4975042,55754083,20,0,ok
1,a376dce82c7d0d345b49ec852e955202b593d39a04dad686c1c29a17129ba517,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,phase-0000-source-0007.cnf,relation-completeness,0,7,1070,548,5668708,60247042,20,0,ok
1,a376dce82c7d0d345b49ec852e955202b593d39a04dad686c1c29a17129ba517,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,terminal.cnf,terminal-completeness,-,-,1061,371,3487208,35703541,20,0,ok
1,a376dce82c7d0d345b49ec852e955202b593d39a04dad686c1c29a17129ba517,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,aggregate.cnf,aggregate-completeness,-,-,16381,18211,4103667,33701875,20,0,ok
