schema_version,manifest_sha256,cadical_sha256,drat_trim_sha256,obligation,kind,phase,source,cnf_bytes,proof_bytes,produce_ns,check_ns,producer_status,checker_status,status
1,7ac07b463966265691880209f6f2140d9e9efb701d61d000c5b03e814b882546,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,phase-0000-source-0000.cnf,relation-completeness,0,0,1406,736,5422709,55705500,20,0,ok
1,7ac07b463966265691880209f6f2140d9e9efb701d61d000c5b03e814b882546,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,phase-0000-source-0001.cnf,relation-completeness,0,1,1405,736,6013459,59093917,20,0,ok
1,7ac07b463966265691880209f6f2140d9e9efb701d61d000c5b03e814b882546,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,phase-0000-source-0002.cnf,relation-completeness,0,2,1405,736,6200458,57584625,20,0,ok
1,7ac07b463966265691880209f6f2140d9e9efb701d61d000c5b03e814b882546,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,phase-0000-source-0003.cnf,relation-completeness,0,3,1404,735,6235083,54797125,20,0,ok
1,7ac07b463966265691880209f6f2140d9e9efb701d61d000c5b03e814b882546,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,phase-0000-source-0004.cnf,relation-completeness,0,4,1405,736,5811167,45484750,20,0,ok
1,7ac07b463966265691880209f6f2140d9e9efb701d61d000c5b03e814b882546,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,phase-0000-source-0005.cnf,relation-completeness,0,5,1404,736,5792833,58017250,20,0,ok
1,7ac07b463966265691880209f6f2140d9e9efb701d61d000c5b03e814b882546,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,phase-0000-source-0006.cnf,relation-completeness,0,6,1404,736,6268750,61076833,20,0,ok
1,7ac07b463966265691880209f6f2140d9e9efb701d61d000c5b03e814b882546,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,phase-0000-source-0007.cnf,relation-completeness,0,7,1403,735,6422375,62174583,20,0,ok
1,7ac07b463966265691880209f6f2140d9e9efb701d61d000c5b03e814b882546,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,phase-0000-source-0008.cnf,relation-completeness,0,8,1405,736,5277458,51384166,20,0,ok
1,7ac07b463966265691880209f6f2140d9e9efb701d61d000c5b03e814b882546,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,phase-0000-source-0009.cnf,relation-completeness,0,9,1404,736,7815584,64284667,20,0,ok
1,7ac07b463966265691880209f6f2140d9e9efb701d61d000c5b03e814b882546,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,phase-0000-source-0010.cnf,relation-completeness,0,10,1404,736,6350375,54666500,20,0,ok
1,7ac07b463966265691880209f6f2140d9e9efb701d61d000c5b03e814b882546,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,phase-0000-source-0011.cnf,relation-completeness,0,11,1403,735,6579084,60468500,20,0,ok
1,7ac07b463966265691880209f6f2140d9e9efb701d61d000c5b03e814b882546,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,phase-0000-source-0012.cnf,relation-completeness,0,12,1404,735,5618291,59811375,20,0,ok
1,7ac07b463966265691880209f6f2140d9e9efb701d61d000c5b03e814b882546,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,phase-0000-source-0013.cnf,relation-completeness,0,13,1403,735,7536083,61028792,20,0,ok
1,7ac07b463966265691880209f6f2140d9e9efb701d61d000c5b03e814b882546,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,phase-0000-source-0014.cnf,relation-completeness,0,14,1403,735,7619667,63758375,20,0,ok
1,7ac07b463966265691880209f6f2140d9e9efb701d61d000c5b03e814b882546,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,phase-0000-source-0015.cnf,relation-completeness,0,15,1402,778,3497708,50215083,20,0,ok
1,7ac07b463966265691880209f6f2140d9e9efb701d61d000c5b03e814b882546,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,terminal.cnf,terminal-completeness,-,-,1388,578,6922458,53899834,20,0,ok
1,7ac07b463966265691880209f6f2140d9e9efb701d61d000c5b03e814b882546,c9982baff36b5153b6b6f6f22b21836a6a1adcd0239f000a57341036d4eb1632,f0107640f3ee4b1e9e116991d5974f26cba1b34c357f4c6861937f4d276f7cd7,aggregate.cnf,aggregate-completeness,-,-,42883,52244,11461125,57149083,20,0,ok
