kind,width,horizon,variables,clauses,queries,node_limit,order,backend,admitted,recognition_ns,bdd_nodes,compiled_frames,cycle_start,cycle_length,preimage_ns_per_query,incremental_varisat_ns_per_query,speedup_vs_incremental,sat_queries,unsat_queries,agreement,witnesses_valid,status
majority3,6,100,606,4800,50,200000,hybrid,bdd,true,699542,439,8,2,6,4746.660,504398.340,106.263844,21,29,true,true,ok
majority3,6,1000,6006,48000,50,200000,hybrid,bdd,true,3987167,439,8,2,6,31724.180,3667780.820,115.614677,25,25,true,true,ok
majority3,6,10000,60006,480000,50,200000,hybrid,bdd,true,27036750,439,8,2,6,132818.320,49837121.680,375.227767,20,30,true,true,ok
majority3,8,100,808,6400,50,200000,hybrid,bdd,true,1008000,1133,11,3,8,8180.000,1454694.180,177.835474,27,23,true,true,ok
majority3,8,1000,8008,64000,50,200000,hybrid,bdd,true,3933084,1133,11,3,8,24102.500,16862116.680,699.600319,26,24,true,true,ok
majority3,8,10000,80008,640000,50,200000,hybrid,bdd,true,39914417,1133,11,3,8,222484.160,235268824.160,1057.463256,32,18,true,true,ok
mux3,6,100,606,4800,50,200000,hybrid,bdd,true,630375,668,10,4,6,4485.000,422034.160,94.099032,21,29,true,true,ok
mux3,6,1000,6006,48000,50,200000,hybrid,bdd,true,2903625,668,10,4,6,18670.000,5023760.000,269.081950,23,27,true,true,ok
mux3,6,10000,60006,480000,50,200000,hybrid,bdd,true,26036333,668,10,4,6,109038.340,50468695.000,462.852745,17,33,true,true,ok
mux3,8,100,808,6400,50,200000,hybrid,bdd,true,1358083,2011,14,6,8,7005.840,1831996.680,261.495649,22,28,true,true,ok
mux3,8,1000,8008,64000,50,200000,hybrid,bdd,true,4147750,2011,14,6,8,21529.180,25437220.840,1181.522977,22,28,true,true,ok
mux3,8,10000,80008,640000,50,200000,hybrid,bdd,true,37376542,2011,14,6,8,209818.340,338026184.160,1611.042124,29,21,true,true,ok
mixed3,6,100,606,4800,50,200000,hybrid,bdd,true,641208,1012,8,2,6,5154.180,462147.500,89.664602,20,30,true,true,ok
mixed3,6,1000,6006,48000,50,200000,hybrid,bdd,true,2864416,1012,8,2,6,22470.840,3770015.000,167.773657,27,23,true,true,ok
mixed3,6,10000,60006,480000,50,200000,hybrid,bdd,true,24841125,1012,8,2,6,160787.500,44010042.500,273.715572,25,25,true,true,ok
mixed3,8,100,808,6400,50,200000,hybrid,bdd,true,1198500,2133,7,3,4,10761.660,1267466.680,117.776131,27,23,true,true,ok
mixed3,8,1000,8008,64000,50,200000,hybrid,bdd,true,3935875,2133,7,3,4,27153.340,11817943.320,435.229821,26,24,true,true,ok
mixed3,8,10000,80008,640000,50,200000,hybrid,bdd,true,33359250,2133,7,3,4,202917.500,139679291.660,688.355079,29,21,true,true,ok
cascade4,6,100,606,9600,50,200000,hybrid,bdd,true,4666083,7187,21,3,18,7900.000,1292597.500,163.619937,26,24,true,true,ok
cascade4,6,1000,6006,96000,50,200000,hybrid,bdd,true,11308917,7187,21,3,18,27706.660,9316004.160,336.236997,27,23,true,true,ok
cascade4,6,10000,60006,960000,50,200000,hybrid,bdd,true,63397083,7187,21,3,18,214548.340,108982498.340,507.962440,31,19,true,true,ok
cascade4,8,100,808,12800,50,200000,hybrid,bdd,true,11401667,20710,20,12,8,10340.000,4416358.340,427.113959,25,25,true,true,ok
cascade4,8,1000,8008,128000,50,200000,hybrid,bdd,true,17508416,20710,20,12,8,28124.160,22628436.660,804.590667,29,21,true,true,ok
cascade4,8,10000,80008,1280000,50,200000,hybrid,bdd,true,81150000,20710,20,12,8,172277.500,749583327.500,4351.022783,23,27,true,true,ok
