kind,width,horizon,variables,clauses,queries,max_width,admitted,recognition_ns,jump_table_states,kernel_ns_per_query,incremental_varisat_ns_per_query,speedup_vs_incremental,break_even_queries,sat_queries,unsat_queries,agreement,witnesses_valid,status
majority3,4,10,44,320,100,12,true,95667,64,369.160,8920.000,24.162965,12,53,47,true,true,ok
majority3,4,100,404,3200,100,12,true,186375,112,560.830,122111.250,217.733092,2,44,56,true,true,ok
majority3,4,1000,4004,32000,100,12,true,1760708,160,2432.920,1209667.090,497.207919,2,46,54,true,true,ok
majority3,8,10,88,640,100,12,true,56208,1024,741.250,32610.420,43.993821,2,76,24,true,true,ok
majority3,8,100,808,6400,100,12,true,339875,1792,1595.420,1118019.590,700.768193,1,69,31,true,true,ok
majority3,8,1000,8008,64000,100,12,true,3248375,2560,5799.170,17296281.660,2982.544340,1,67,33,true,true,ok
majority3,12,10,132,960,100,12,true,259333,16384,2472.080,49002.080,19.822206,6,93,7,true,true,ok
majority3,12,100,1212,9600,100,12,true,696708,28672,8485.830,1994569.580,235.047082,1,77,23,true,true,ok
majority3,12,1000,12012,96000,100,12,true,5311000,40960,19920.830,84744143.750,4254.046832,1,69,31,true,true,ok
mux3,4,10,44,320,100,12,true,35458,64,259.580,10217.090,39.360082,4,53,47,true,true,ok
mux3,4,100,404,3200,100,12,true,191208,112,581.250,122250.840,210.324026,2,53,47,true,true,ok
mux3,4,1000,4004,32000,100,12,true,1729334,160,2654.590,1162884.580,438.065607,2,54,46,true,true,ok
mux3,8,10,88,640,100,12,true,59333,1024,557.090,52590.000,94.401264,2,80,20,true,true,ok
mux3,8,100,808,6400,100,12,true,331166,1792,1441.670,1254200.420,869.963598,1,71,29,true,true,ok
mux3,8,1000,8008,64000,100,12,true,3214667,2560,6261.660,15421625.000,2462.865279,1,71,29,true,true,ok
mux3,12,10,132,960,100,12,true,296834,16384,1907.920,62744.170,32.886164,5,94,6,true,true,ok
mux3,12,100,1212,9600,100,12,true,738084,28672,6562.910,3842300.000,585.456756,1,82,18,true,true,ok
mux3,12,1000,12012,96000,100,12,true,5276167,40960,16770.830,129916094.170,7746.551254,1,78,22,true,true,ok
mixed3,4,10,44,320,100,12,true,33084,64,263.340,9867.090,37.469013,4,49,51,true,true,ok
mixed3,4,100,404,3200,100,12,true,208625,112,567.500,134781.660,237.500722,2,48,52,true,true,ok
mixed3,4,1000,4004,32000,100,12,true,1980375,160,2652.910,1215319.580,458.108108,2,46,54,true,true,ok
mixed3,8,10,88,640,100,12,true,54458,1024,582.080,55066.670,94.603268,1,77,23,true,true,ok
mixed3,8,100,808,6400,100,12,true,325542,1792,1575.410,1096632.080,696.093131,1,69,31,true,true,ok
mixed3,8,1000,8008,64000,100,12,true,3339125,2560,5723.330,8002713.750,1398.261807,1,72,28,true,true,ok
mixed3,12,10,132,960,100,12,true,230542,16384,2230.000,86874.170,38.957027,3,89,11,true,true,ok
mixed3,12,100,1212,9600,100,12,true,696125,28672,6018.750,6827810.420,1134.423330,1,83,17,true,true,ok
mixed3,12,1000,12012,96000,100,12,true,5313875,40960,18135.000,111118465.830,6127.293401,1,78,22,true,true,ok
cascade4,4,10,44,640,100,12,true,68167,64,252.080,13410.410,53.199024,6,23,77,true,true,ok
cascade4,4,100,404,6400,100,12,true,406458,112,494.160,172609.170,349.298142,3,20,80,true,true,ok
cascade4,4,1000,4004,64000,100,12,true,3843000,160,1945.420,762240.420,391.812781,6,18,82,true,true,ok
cascade4,8,10,88,1280,100,12,true,113042,1024,509.160,153364.170,301.210170,1,95,5,true,true,ok
cascade4,8,100,808,12800,100,12,true,732583,1792,1800.840,3807844.590,2114.482458,1,67,33,true,true,ok
cascade4,8,1000,8008,128000,100,12,true,7063500,2560,6252.500,29055334.580,4646.994735,1,70,30,true,true,ok
cascade4,12,10,132,1920,100,12,true,441750,16384,491.670,93446.670,190.059735,5,100,0,true,true,ok
cascade4,12,100,1212,19200,100,12,true,1283875,28672,1488.750,2732982.920,1835.756789,1,100,0,true,true,ok
cascade4,12,1000,12012,192000,100,12,true,11079500,40960,10256.250,20685175.000,2016.836076,1,100,0,true,true,ok
