schema_version,route,trial,repetitions,elapsed_seconds,peak_rss_bytes,time_backend,platform
1,graph,1,100,1.84,10878976,bsd,Darwin-arm64
1,graph-successor,1,100,1.77,10944512,bsd,Darwin-arm64
1,trace-family,1,100,1.65,11337728,bsd,Darwin-arm64
1,graph-successor,2,100,1.65,10911744,bsd,Darwin-arm64
1,trace-family,2,100,1.67,11354112,bsd,Darwin-arm64
1,graph,2,100,2.45,10911744,bsd,Darwin-arm64
1,trace-family,3,100,2.40,11386880,bsd,Darwin-arm64
1,graph,3,100,2.00,10895360,bsd,Darwin-arm64
1,graph-successor,3,100,2.02,10944512,bsd,Darwin-arm64
1,graph,4,100,1.70,10911744,bsd,Darwin-arm64
1,graph-successor,4,100,1.63,10911744,bsd,Darwin-arm64
1,trace-family,4,100,1.67,11370496,bsd,Darwin-arm64
1,graph-successor,5,100,1.59,10928128,bsd,Darwin-arm64
1,trace-family,5,100,1.65,11354112,bsd,Darwin-arm64
1,graph,5,100,1.61,10895360,bsd,Darwin-arm64
