schema_version,horizon,property,expected_answer,external_answer,earliest_bad_frame,producer_engine,model_bytes,evidence_bytes,deterministic,independently_verified,status
1,4,wake,SAFE,UNSAT,none,ic3,29089,22853,true,true,validated
1,4,bark,SAFE,UNSAT,none,ic3,27838,19422,true,true,validated
1,4,bite,SAFE,UNSAT,none,ic3,27839,19451,true,true,validated
1,5,wake,SAFE,UNSAT,none,ic3,29118,22108,true,true,validated
1,5,bark,UNSAFE,SAT,5,bmc,27867,138,true,true,validated
1,5,bite,SAFE,UNSAT,none,ic3,27868,18990,true,true,validated
1,7,wake,UNSAFE,SAT,7,bmc,29076,144,true,true,validated
1,7,bark,UNSAFE,SAT,5,bmc,27825,138,true,true,validated
1,7,bite,SAFE,UNSAT,none,ic3,27826,18318,true,true,validated
1,9,wake,UNSAFE,SAT,7,bmc,29132,144,true,true,validated
1,9,bark,UNSAFE,SAT,5,bmc,27881,138,true,true,validated
1,9,bite,UNSAFE,SAT,9,bmc,27882,150,true,true,validated
