schema_version,trial,horizon,route,operation,wall_seconds,peak_space_mb,model_bytes,evidence_bytes,producer_tool_bytes,consumer_tool_bytes,answers_agree,status
1,1,4,gcc,producer,0.007000,8,2081,445,98076152,98076152,true,measured
1,1,4,external,producer,0.860000,416,115446,26984,106649824,11444673,true,measured
1,1,4,gcc,consumer,0.003000,8,2081,445,98076152,98076152,true,measured
1,1,4,external,consumer,0.243000,148,115446,26984,106649824,11444673,true,measured
1,1,5,gcc,producer,0.005000,8,2081,454,98076152,98076152,true,measured
1,1,5,external,producer,0.550000,271,115308,24430,106649824,11444673,true,measured
1,1,5,gcc,consumer,0.003000,8,2081,454,98076152,98076152,true,measured
1,1,5,external,consumer,0.253000,139,115308,24430,106649824,11444673,true,measured
1,2,4,gcc,producer,0.005000,8,2081,445,98076152,98076152,true,measured
1,2,4,external,producer,0.867000,359,115446,26984,106649824,11444673,true,measured
1,2,4,gcc,consumer,0.003000,4,2081,445,98076152,98076152,true,measured
1,2,4,external,consumer,0.242000,142,115446,26984,106649824,11444673,true,measured
1,2,5,gcc,producer,0.005000,8,2081,454,98076152,98076152,true,measured
1,2,5,external,producer,0.548000,314,115308,24430,106649824,11444673,true,measured
1,2,5,gcc,consumer,0.003000,7,2081,454,98076152,98076152,true,measured
1,2,5,external,consumer,0.252000,140,115308,24430,106649824,11444673,true,measured
1,3,4,gcc,producer,0.005000,8,2081,445,98076152,98076152,true,measured
1,3,4,external,producer,0.856000,358,115446,26984,106649824,11444673,true,measured
1,3,4,gcc,consumer,0.003000,7,2081,445,98076152,98076152,true,measured
1,3,4,external,consumer,0.242000,143,115446,26984,106649824,11444673,true,measured
1,3,5,gcc,producer,0.005000,8,2081,454,98076152,98076152,true,measured
1,3,5,external,producer,0.555000,243,115308,24430,106649824,11444673,true,measured
1,3,5,gcc,consumer,0.003000,7,2081,454,98076152,98076152,true,measured
1,3,5,external,consumer,0.256000,142,115308,24430,106649824,11444673,true,measured
