model,left,right,guard,relation,horizon,result,bad_frame,certificate_bytes,verified,status
symbolic-class-6,0,1,both_unwritten,equal,0,SAFE,none,103284,true,accepted
symbolic-class-6,0,1,both_unwritten,different,0,UNSAFE,0,109,true,accepted
symbolic-class-6,0,1,same_tracked_config,equal,0,SAFE,none,99462,true,accepted
symbolic-class-6,0,1,same_tracked_config,different,0,SAFE,none,99462,true,accepted
symbolic-class-6,0,1,opposite_tracked_invert,equal,0,SAFE,none,99462,true,accepted
symbolic-class-6,0,1,opposite_tracked_invert,different,0,SAFE,none,99462,true,accepted
symbolic-class-6,0,1,both_unwritten,equal,1,SAFE,none,223052,true,accepted
symbolic-class-6,0,1,both_unwritten,different,1,UNSAFE,0,117,true,accepted
symbolic-class-6,0,1,same_tracked_config,equal,1,SAFE,none,223130,true,accepted
symbolic-class-6,0,1,same_tracked_config,different,1,UNSAFE,1,117,true,accepted
symbolic-class-6,0,1,opposite_tracked_invert,equal,1,SAFE,none,223130,true,accepted
symbolic-class-6,0,1,opposite_tracked_invert,different,1,UNSAFE,1,117,true,accepted
symbolic-class-6,0,1,both_unwritten,equal,2,UNSAFE,2,125,true,accepted
symbolic-class-6,0,1,both_unwritten,different,2,UNSAFE,0,125,true,accepted
symbolic-class-6,0,1,same_tracked_config,equal,2,UNSAFE,2,125,true,accepted
symbolic-class-6,0,1,same_tracked_config,different,2,UNSAFE,1,125,true,accepted
symbolic-class-6,0,1,opposite_tracked_invert,equal,2,UNSAFE,2,125,true,accepted
symbolic-class-6,0,1,opposite_tracked_invert,different,2,UNSAFE,1,125,true,accepted
symbolic-class-6,0,1,both_unwritten,equal,4,UNSAFE,2,141,true,accepted
symbolic-class-6,0,1,both_unwritten,different,4,UNSAFE,0,141,true,accepted
symbolic-class-6,0,1,same_tracked_config,equal,4,UNSAFE,3,141,true,accepted
symbolic-class-6,0,1,same_tracked_config,different,4,UNSAFE,2,141,true,accepted
symbolic-class-6,0,1,opposite_tracked_invert,equal,4,UNSAFE,3,141,true,accepted
symbolic-class-6,0,1,opposite_tracked_invert,different,4,UNSAFE,2,141,true,accepted
symbolic-class-6,0,1,both_unwritten,equal,8,UNSAFE,3,173,true,accepted
symbolic-class-6,0,1,both_unwritten,different,8,UNSAFE,0,173,true,accepted
symbolic-class-6,0,1,same_tracked_config,equal,8,UNSAFE,7,173,true,accepted
symbolic-class-6,0,1,same_tracked_config,different,8,UNSAFE,7,173,true,accepted
symbolic-class-6,0,1,opposite_tracked_invert,equal,8,UNSAFE,7,173,true,accepted
symbolic-class-6,0,1,opposite_tracked_invert,different,8,UNSAFE,7,173,true,accepted
