query_id,left,right,relation,length,mask,value,horizon,result,bad_frame
0,0,2,Equal,1,1,1,0,Unsafe,0
1,0,2,Equal,2,3,1,2,Safe,none
2,0,2,Equal,2,3,3,2,Unsafe,1
3,0,2,Equal,2,3,0,2,Safe,none
4,0,2,Different,1,1,1,0,Safe,none
5,0,2,Different,2,3,1,2,Safe,none
6,0,2,Different,2,3,3,2,Safe,none
7,0,2,Different,2,3,0,2,Unsafe,1
8,2,4,Equal,1,1,1,0,Unsafe,0
9,2,4,Equal,2,3,1,2,Safe,none
10,2,4,Equal,2,3,3,2,Unsafe,1
11,2,4,Equal,2,3,0,2,Safe,none
12,2,4,Different,1,1,1,0,Safe,none
13,2,4,Different,2,3,1,2,Safe,none
14,2,4,Different,2,3,3,2,Safe,none
15,2,4,Different,2,3,0,2,Unsafe,1
16,4,0,Equal,1,1,1,0,Unsafe,0
17,4,0,Equal,2,3,1,2,Safe,none
18,4,0,Equal,2,3,3,2,Unsafe,1
19,4,0,Equal,2,3,0,2,Safe,none
20,4,0,Different,1,1,1,0,Safe,none
21,4,0,Different,2,3,1,2,Safe,none
22,4,0,Different,2,3,3,2,Safe,none
23,4,0,Different,2,3,0,2,Unsafe,1
