kind,phase,guard,relation,horizon,result,bad_frame,certificate_bytes,verified,status,abstract_state_bits,concrete_state_nodes,concrete_state_bits
reachability,0,both_unwritten,none,8,REACHABLE,0,173,true,accepted,10,33,69
reachability,0,same_tracked_config,none,8,NONE,none,0,false,refused,10,33,69
reachability,0,opposite_tracked_invert,none,8,NONE,none,0,false,refused,10,33,69
reachability,1,both_unwritten,none,8,REACHABLE,1,173,true,accepted,10,33,69
reachability,1,same_tracked_config,none,8,REACHABLE,1,173,true,accepted,10,33,69
reachability,1,opposite_tracked_invert,none,8,REACHABLE,1,173,true,accepted,10,33,69
reachability,2,both_unwritten,none,8,REACHABLE,2,173,true,accepted,10,33,69
reachability,2,same_tracked_config,none,8,REACHABLE,2,173,true,accepted,10,33,69
reachability,2,opposite_tracked_invert,none,8,REACHABLE,2,173,true,accepted,10,33,69
reachability,3,both_unwritten,none,8,REACHABLE,3,173,true,accepted,10,33,69
reachability,3,same_tracked_config,none,8,REACHABLE,3,173,true,accepted,10,33,69
reachability,3,opposite_tracked_invert,none,8,REACHABLE,3,173,true,accepted,10,33,69
reachability,4,both_unwritten,none,8,REACHABLE,4,173,true,accepted,10,33,69
reachability,4,same_tracked_config,none,8,REACHABLE,4,173,true,accepted,10,33,69
reachability,4,opposite_tracked_invert,none,8,REACHABLE,4,173,true,accepted,10,33,69
reachability,5,both_unwritten,none,8,REACHABLE,5,173,true,accepted,10,33,69
reachability,5,same_tracked_config,none,8,REACHABLE,5,173,true,accepted,10,33,69
reachability,5,opposite_tracked_invert,none,8,REACHABLE,5,173,true,accepted,10,33,69
reachability,6,both_unwritten,none,8,REACHABLE,6,173,true,accepted,10,33,69
reachability,6,same_tracked_config,none,8,REACHABLE,6,173,true,accepted,10,33,69
reachability,6,opposite_tracked_invert,none,8,REACHABLE,6,173,true,accepted,10,33,69
reachability,7,both_unwritten,none,8,REACHABLE,7,173,true,accepted,10,33,69
reachability,7,same_tracked_config,none,8,REACHABLE,7,173,true,accepted,10,33,69
reachability,7,opposite_tracked_invert,none,8,REACHABLE,7,173,true,accepted,10,33,69
reachability,8,both_unwritten,none,8,REACHABLE,8,173,true,accepted,10,33,69
reachability,8,same_tracked_config,none,8,REACHABLE,8,173,true,accepted,10,33,69
reachability,8,opposite_tracked_invert,none,8,REACHABLE,8,173,true,accepted,10,33,69
relation,0,both_unwritten,equal,8,NONE,none,0,false,refused,10,33,69
relation,0,both_unwritten,different,8,UNSAFE,0,173,true,accepted,10,33,69
relation,0,same_tracked_config,equal,8,NONE,none,0,false,refused,10,33,69
relation,0,same_tracked_config,different,8,NONE,none,0,false,refused,10,33,69
