schema_version,operation,trial,elapsed_seconds,peak_rss_bytes,artifact_bytes,internal_total_micros,phase_sum_micros,time_backend,operating_system,architecture,artifact_sha256,unsafe_answers,status
1,certify,1,0.12,18726912,1568,124598,124493,bsd,Darwin,arm64,31db59025d13872959c11783d6f1887fd98f3bac9e0234f3da7fb88ed52e3486,12,measured
1,verify,1,0.04,8028160,1568,47873,47792,bsd,Darwin,arm64,31db59025d13872959c11783d6f1887fd98f3bac9e0234f3da7fb88ed52e3486,12,measured
1,certify,2,0.12,18710528,1568,122015,121851,bsd,Darwin,arm64,31db59025d13872959c11783d6f1887fd98f3bac9e0234f3da7fb88ed52e3486,12,measured
1,verify,2,0.04,8044544,1568,47714,47628,bsd,Darwin,arm64,31db59025d13872959c11783d6f1887fd98f3bac9e0234f3da7fb88ed52e3486,12,measured
1,certify,3,0.12,18726912,1568,124031,123926,bsd,Darwin,arm64,31db59025d13872959c11783d6f1887fd98f3bac9e0234f3da7fb88ed52e3486,12,measured
1,verify,3,0.04,8044544,1568,47129,47059,bsd,Darwin,arm64,31db59025d13872959c11783d6f1887fd98f3bac9e0234f3da7fb88ed52e3486,12,measured
1,certify,4,0.12,18743296,1568,122939,122837,bsd,Darwin,arm64,31db59025d13872959c11783d6f1887fd98f3bac9e0234f3da7fb88ed52e3486,12,measured
1,verify,4,0.04,8028160,1568,47344,47272,bsd,Darwin,arm64,31db59025d13872959c11783d6f1887fd98f3bac9e0234f3da7fb88ed52e3486,12,measured
1,certify,5,0.12,18710528,1568,123090,122979,bsd,Darwin,arm64,31db59025d13872959c11783d6f1887fd98f3bac9e0234f3da7fb88ed52e3486,12,measured
1,verify,5,0.05,8044544,1568,48907,48817,bsd,Darwin,arm64,31db59025d13872959c11783d6f1887fd98f3bac9e0234f3da7fb88ed52e3486,12,measured
