schema_version,operation,phase,profile,trial,wall_seconds,user_seconds,system_seconds,peak_rss_bytes,time_backend,platform,status
1,input-preparation,setup,o2,0,8.19,7.01,0.11,41811968,bsd,Darwin-arm64,complete
1,gcc-consumer-tool,setup,o2,0,21.64,91.93,5.29,2021998592,bsd,Darwin-arm64,complete
1,gcc-producer-tool,setup,o2,0,12.38,32.21,3.57,1068777472,bsd,Darwin-arm64,complete
1,maintained-consumer-tool,setup,o2,0,27.85,0.11,0.11,52477952,bsd,Darwin-arm64,complete
1,gcc-certificate-production,producer,o2,0,10.56,10.17,0.05,10502144,bsd,Darwin-arm64,complete
1,gcc-consumer,measured,o2,1,0.04,0.03,0.00,7274496,bsd,Darwin-arm64,complete
1,maintained-consumer,measured,o2,1,3.04,1.12,0.15,68157440,bsd,Darwin-arm64,complete
1,gcc-consumer,measured,o2,2,0.04,0.03,0.00,7225344,bsd,Darwin-arm64,complete
1,maintained-consumer,measured,o2,2,2.89,1.15,0.14,68239360,bsd,Darwin-arm64,complete
1,gcc-consumer,measured,o2,3,0.04,0.03,0.00,9388032,bsd,Darwin-arm64,complete
1,maintained-consumer,measured,o2,3,2.96,1.12,0.14,68075520,bsd,Darwin-arm64,complete
1,gcc-consumer,measured,o2,4,0.04,0.03,0.00,7225344,bsd,Darwin-arm64,complete
1,maintained-consumer,measured,o2,4,2.84,1.11,0.15,68124672,bsd,Darwin-arm64,complete
1,gcc-consumer,measured,o2,5,0.04,0.03,0.00,9355264,bsd,Darwin-arm64,complete
1,maintained-consumer,measured,o2,5,2.86,1.09,0.14,68075520,bsd,Darwin-arm64,complete
