model,query_id,channel,length,mask,value,horizon,result,bad_frame
symbolic-class-2,0,0,1,1,1,1,SAFE,none
symbolic-class-2,1,1,1,1,1,1,SAFE,none
symbolic-class-2,2,0,1,1,0,1,UNSAFE,0
symbolic-class-2,3,1,1,1,0,1,UNSAFE,0
symbolic-class-2,4,0,2,3,1,8,UNSAFE,2
symbolic-class-2,5,1,2,3,1,8,UNSAFE,2
symbolic-class-2,6,0,2,3,2,8,UNSAFE,3
symbolic-class-2,7,1,2,3,2,8,UNSAFE,3
symbolic-class-2,8,0,3,7,2,8,UNSAFE,3
symbolic-class-2,9,1,3,7,2,8,UNSAFE,3
symbolic-class-2,10,0,3,7,5,8,UNSAFE,4
symbolic-class-2,11,1,3,7,5,8,UNSAFE,4
symbolic-class-2,12,0,3,5,1,8,UNSAFE,2
symbolic-class-2,13,1,3,5,1,8,UNSAFE,2
symbolic-class-4,0,0,1,1,1,1,SAFE,none
symbolic-class-4,1,1,1,1,1,1,SAFE,none
symbolic-class-4,2,2,1,1,1,1,SAFE,none
symbolic-class-4,3,3,1,1,1,1,SAFE,none
symbolic-class-4,4,0,1,1,0,1,UNSAFE,0
symbolic-class-4,5,1,1,1,0,1,UNSAFE,0
symbolic-class-4,6,2,1,1,0,1,UNSAFE,0
symbolic-class-4,7,3,1,1,0,1,UNSAFE,0
symbolic-class-4,8,0,2,3,1,8,UNSAFE,2
symbolic-class-4,9,1,2,3,1,8,UNSAFE,2
symbolic-class-4,10,2,2,3,1,8,UNSAFE,2
symbolic-class-4,11,3,2,3,1,8,UNSAFE,2
symbolic-class-4,12,0,2,3,2,8,UNSAFE,3
symbolic-class-4,13,1,2,3,2,8,UNSAFE,3
symbolic-class-4,14,2,2,3,2,8,UNSAFE,3
symbolic-class-4,15,3,2,3,2,8,UNSAFE,3
symbolic-class-4,16,0,3,7,2,8,UNSAFE,3
symbolic-class-4,17,1,3,7,2,8,UNSAFE,3
symbolic-class-4,18,2,3,7,2,8,UNSAFE,3
symbolic-class-4,19,3,3,7,2,8,UNSAFE,3
symbolic-class-4,20,0,3,7,5,8,UNSAFE,4
symbolic-class-4,21,1,3,7,5,8,UNSAFE,4
symbolic-class-4,22,2,3,7,5,8,UNSAFE,4
symbolic-class-4,23,3,3,7,5,8,UNSAFE,4
symbolic-class-4,24,0,3,5,1,8,UNSAFE,2
symbolic-class-4,25,1,3,5,1,8,UNSAFE,2
symbolic-class-4,26,2,3,5,1,8,UNSAFE,2
symbolic-class-4,27,3,3,5,1,8,UNSAFE,2
symbolic-class-6,0,0,1,1,1,1,SAFE,none
symbolic-class-6,1,1,1,1,1,1,SAFE,none
symbolic-class-6,2,2,1,1,1,1,SAFE,none
symbolic-class-6,3,3,1,1,1,1,SAFE,none
symbolic-class-6,4,4,1,1,1,1,SAFE,none
symbolic-class-6,5,5,1,1,1,1,SAFE,none
symbolic-class-6,6,0,1,1,0,1,UNSAFE,0
symbolic-class-6,7,1,1,1,0,1,UNSAFE,0
symbolic-class-6,8,2,1,1,0,1,UNSAFE,0
symbolic-class-6,9,3,1,1,0,1,UNSAFE,0
symbolic-class-6,10,4,1,1,0,1,UNSAFE,0
symbolic-class-6,11,5,1,1,0,1,UNSAFE,0
symbolic-class-6,12,0,2,3,1,8,UNSAFE,2
symbolic-class-6,13,1,2,3,1,8,UNSAFE,2
symbolic-class-6,14,2,2,3,1,8,UNSAFE,2
symbolic-class-6,15,3,2,3,1,8,UNSAFE,2
symbolic-class-6,16,4,2,3,1,8,UNSAFE,2
symbolic-class-6,17,5,2,3,1,8,UNSAFE,2
symbolic-class-6,18,0,2,3,2,8,UNSAFE,3
symbolic-class-6,19,1,2,3,2,8,UNSAFE,3
symbolic-class-6,20,2,2,3,2,8,UNSAFE,3
symbolic-class-6,21,3,2,3,2,8,UNSAFE,3
symbolic-class-6,22,4,2,3,2,8,UNSAFE,3
symbolic-class-6,23,5,2,3,2,8,UNSAFE,3
symbolic-class-6,24,0,3,7,2,8,UNSAFE,3
symbolic-class-6,25,1,3,7,2,8,UNSAFE,3
symbolic-class-6,26,2,3,7,2,8,UNSAFE,3
symbolic-class-6,27,3,3,7,2,8,UNSAFE,3
symbolic-class-6,28,4,3,7,2,8,UNSAFE,3
symbolic-class-6,29,5,3,7,2,8,UNSAFE,3
symbolic-class-6,30,0,3,7,5,8,UNSAFE,4
symbolic-class-6,31,1,3,7,5,8,UNSAFE,4
symbolic-class-6,32,2,3,7,5,8,UNSAFE,4
symbolic-class-6,33,3,3,7,5,8,UNSAFE,4
symbolic-class-6,34,4,3,7,5,8,UNSAFE,4
symbolic-class-6,35,5,3,7,5,8,UNSAFE,4
symbolic-class-6,36,0,3,5,1,8,UNSAFE,2
symbolic-class-6,37,1,3,5,1,8,UNSAFE,2
symbolic-class-6,38,2,3,5,1,8,UNSAFE,2
symbolic-class-6,39,3,3,5,1,8,UNSAFE,2
symbolic-class-6,40,4,3,5,1,8,UNSAFE,2
symbolic-class-6,41,5,3,5,1,8,UNSAFE,2
