schema_version,input_sha256,transcript_sha256,bad_output,horizon,relevant_inputs,latches,trial,result,predicate_query_ns,certificate_generate_ns,certificate_verify_ns,cdcl_query_ns,certificate_bytes,answers_agree,status
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8a1490a8115e4e3d971165f98195e0cc6ee2474344d661275150643aaddea462,0,16,12,3,0,avoidable,296333,11636125,3602584,288208,650,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8a1490a8115e4e3d971165f98195e0cc6ee2474344d661275150643aaddea462,0,16,12,3,1,avoidable,253833,12095000,4218000,380333,650,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8a1490a8115e4e3d971165f98195e0cc6ee2474344d661275150643aaddea462,0,16,12,3,2,avoidable,264375,8367834,3655334,247416,650,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8a1490a8115e4e3d971165f98195e0cc6ee2474344d661275150643aaddea462,0,16,12,3,3,avoidable,258459,12071167,4105458,242333,650,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8a1490a8115e4e3d971165f98195e0cc6ee2474344d661275150643aaddea462,0,16,12,3,4,avoidable,258500,10872583,3809708,273209,650,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8a1490a8115e4e3d971165f98195e0cc6ee2474344d661275150643aaddea462,0,16,12,3,5,avoidable,260209,13875167,4169083,258916,650,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8a1490a8115e4e3d971165f98195e0cc6ee2474344d661275150643aaddea462,0,16,12,3,6,avoidable,262083,12620167,3691000,281042,650,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8a1490a8115e4e3d971165f98195e0cc6ee2474344d661275150643aaddea462,0,16,12,3,7,avoidable,255208,12993250,3498750,251625,650,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8a1490a8115e4e3d971165f98195e0cc6ee2474344d661275150643aaddea462,0,16,12,3,8,avoidable,255834,10478000,3656958,248000,650,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8a1490a8115e4e3d971165f98195e0cc6ee2474344d661275150643aaddea462,0,16,12,3,9,avoidable,258500,12037000,3519375,348959,650,true,ok
