schema_version,input_sha256,transcript_sha256,bad_output,horizon,relevant_inputs,latches,trial,result,predicate_query_ns,certificate_generate_ns,certificate_verify_ns,cdcl_query_ns,certificate_bytes,answers_agree,status
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,3b17ef023704a9dc7c73a148deea44d570335717bef5c8b2788e00b2dca3b652,0,8,9,2,0,avoidable,169833,23885583,368084,339209,546,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,3b17ef023704a9dc7c73a148deea44d570335717bef5c8b2788e00b2dca3b652,0,8,9,2,1,avoidable,103333,31225209,529041,341833,546,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,3b17ef023704a9dc7c73a148deea44d570335717bef5c8b2788e00b2dca3b652,0,8,9,2,2,avoidable,100125,10321750,360334,217625,546,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,3b17ef023704a9dc7c73a148deea44d570335717bef5c8b2788e00b2dca3b652,0,8,9,2,3,avoidable,126042,8672375,613458,425000,546,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,3b17ef023704a9dc7c73a148deea44d570335717bef5c8b2788e00b2dca3b652,0,8,9,2,4,avoidable,199916,10163792,575334,409375,546,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,3b17ef023704a9dc7c73a148deea44d570335717bef5c8b2788e00b2dca3b652,0,8,9,2,5,avoidable,198584,8846042,357333,237958,546,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,3b17ef023704a9dc7c73a148deea44d570335717bef5c8b2788e00b2dca3b652,0,8,9,2,6,avoidable,106917,11424708,690750,493708,546,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,3b17ef023704a9dc7c73a148deea44d570335717bef5c8b2788e00b2dca3b652,0,8,9,2,7,avoidable,100041,10104542,373875,281417,546,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,3b17ef023704a9dc7c73a148deea44d570335717bef5c8b2788e00b2dca3b652,0,8,9,2,8,avoidable,215458,12370542,508125,263750,546,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,3b17ef023704a9dc7c73a148deea44d570335717bef5c8b2788e00b2dca3b652,0,8,9,2,9,avoidable,99000,10368958,656291,322292,546,true,ok
