schema_version,input_sha256,transcript_sha256,bad_output,horizon,relevant_inputs,latches,trial,result,certificate_generate_ns,certificate_verify_ns,cdcl_query_ns,certificate_bytes,raw_proof_bytes,proof_count,direct_evaluations,answers_agree,status
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,69ae5f4e9379267d82c1072b15d6aa78b8f65b12e43d34911780e0dab3b10cc7,0,1,12,3,0,unavoidable,84532416,341000,87333,10851,4788,9,15,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,69ae5f4e9379267d82c1072b15d6aa78b8f65b12e43d34911780e0dab3b10cc7,0,1,12,3,1,unavoidable,17931792,277417,47708,10851,4788,9,15,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,69ae5f4e9379267d82c1072b15d6aa78b8f65b12e43d34911780e0dab3b10cc7,0,1,12,3,2,unavoidable,34005709,268583,44083,10851,4788,9,15,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,69ae5f4e9379267d82c1072b15d6aa78b8f65b12e43d34911780e0dab3b10cc7,0,1,12,3,3,unavoidable,41356542,318500,43417,10851,4788,9,15,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,69ae5f4e9379267d82c1072b15d6aa78b8f65b12e43d34911780e0dab3b10cc7,0,1,12,3,4,unavoidable,35888667,360792,47792,10851,4788,9,15,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,69ae5f4e9379267d82c1072b15d6aa78b8f65b12e43d34911780e0dab3b10cc7,0,1,12,3,5,unavoidable,25507708,253750,47500,10851,4788,9,15,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,69ae5f4e9379267d82c1072b15d6aa78b8f65b12e43d34911780e0dab3b10cc7,0,1,12,3,6,unavoidable,37766417,236250,43500,10851,4788,9,15,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,69ae5f4e9379267d82c1072b15d6aa78b8f65b12e43d34911780e0dab3b10cc7,0,1,12,3,7,unavoidable,37005125,532458,80792,10851,4788,9,15,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,69ae5f4e9379267d82c1072b15d6aa78b8f65b12e43d34911780e0dab3b10cc7,0,1,12,3,8,unavoidable,30764792,261208,45250,10851,4788,9,15,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,69ae5f4e9379267d82c1072b15d6aa78b8f65b12e43d34911780e0dab3b10cc7,0,1,12,3,9,unavoidable,29026417,258875,45000,10851,4788,9,15,true,ok
