schema_version,input_sha256,transcript_sha256,bad_output,horizon,relevant_inputs,latches,trial,result,certificate_generate_ns,certificate_verify_ns,cdcl_query_ns,certificate_bytes,raw_proof_bytes,proof_count,direct_evaluations,answers_agree,status
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8a1490a8115e4e3d971165f98195e0cc6ee2474344d661275150643aaddea462,0,16,12,3,0,avoidable,89084042,344292,270000,14626,5954,9,89,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8a1490a8115e4e3d971165f98195e0cc6ee2474344d661275150643aaddea462,0,16,12,3,1,avoidable,38146333,321083,250833,14626,5954,9,89,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8a1490a8115e4e3d971165f98195e0cc6ee2474344d661275150643aaddea462,0,16,12,3,2,avoidable,43210583,395667,236166,14626,5954,9,89,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8a1490a8115e4e3d971165f98195e0cc6ee2474344d661275150643aaddea462,0,16,12,3,3,avoidable,31284708,295250,240917,14626,5954,9,89,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8a1490a8115e4e3d971165f98195e0cc6ee2474344d661275150643aaddea462,0,16,12,3,4,avoidable,37597667,352333,244459,14626,5954,9,89,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8a1490a8115e4e3d971165f98195e0cc6ee2474344d661275150643aaddea462,0,16,12,3,5,avoidable,45995000,313833,255125,14626,5954,9,89,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8a1490a8115e4e3d971165f98195e0cc6ee2474344d661275150643aaddea462,0,16,12,3,6,avoidable,35756459,529792,485083,14626,5954,9,89,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8a1490a8115e4e3d971165f98195e0cc6ee2474344d661275150643aaddea462,0,16,12,3,7,avoidable,35702333,309666,244042,14626,5954,9,89,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8a1490a8115e4e3d971165f98195e0cc6ee2474344d661275150643aaddea462,0,16,12,3,8,avoidable,28989375,524625,339417,14626,5954,9,89,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8a1490a8115e4e3d971165f98195e0cc6ee2474344d661275150643aaddea462,0,16,12,3,9,avoidable,40384834,403208,300917,14626,5954,9,89,true,ok
