schema_version,input_sha256,transcript_sha256,bad_output,horizon,relevant_inputs,latches,trial,result,certificate_generate_ns,certificate_verify_ns,cdcl_query_ns,certificate_bytes,raw_proof_bytes,proof_count,direct_evaluations,answers_agree,status
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,1864307e417632dbebd984d4c18575c3c17a58389608b8be95dad659fd5d588e,0,32,16,4,0,avoidable,96144791,1270166,770583,52119,21853,17,305,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,1864307e417632dbebd984d4c18575c3c17a58389608b8be95dad659fd5d588e,0,32,16,4,1,avoidable,38737667,747375,545708,52119,21853,17,305,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,1864307e417632dbebd984d4c18575c3c17a58389608b8be95dad659fd5d588e,0,32,16,4,2,avoidable,47310000,746708,529625,52119,21853,17,305,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,1864307e417632dbebd984d4c18575c3c17a58389608b8be95dad659fd5d588e,0,32,16,4,3,avoidable,38815417,1015959,549500,52119,21853,17,305,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,1864307e417632dbebd984d4c18575c3c17a58389608b8be95dad659fd5d588e,0,32,16,4,4,avoidable,44501917,788584,556459,52119,21853,17,305,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,1864307e417632dbebd984d4c18575c3c17a58389608b8be95dad659fd5d588e,0,32,16,4,5,avoidable,41856041,766125,545083,52119,21853,17,305,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,1864307e417632dbebd984d4c18575c3c17a58389608b8be95dad659fd5d588e,0,32,16,4,6,avoidable,34349875,718375,530625,52119,21853,17,305,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,1864307e417632dbebd984d4c18575c3c17a58389608b8be95dad659fd5d588e,0,32,16,4,7,avoidable,27968834,985250,540083,52119,21853,17,305,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,1864307e417632dbebd984d4c18575c3c17a58389608b8be95dad659fd5d588e,0,32,16,4,8,avoidable,34009958,873417,645875,52119,21853,17,305,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,1864307e417632dbebd984d4c18575c3c17a58389608b8be95dad659fd5d588e,0,32,16,4,9,avoidable,27584541,912458,551583,52119,21853,17,305,true,ok
