schema_version,input_sha256,transcript_sha256,relevant_inputs,latches,trial,producer_relation_ns,proof_generate_ns,proof_verify_ns,exhaustive_verify_ns,exhaustive_evaluations,witnesses,proof_bytes,relation_agrees,status
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,1864307e417632dbebd984d4c18575c3c17a58389608b8be95dad659fd5d588e,16,4,0,452541,8869625,567500,149957166,1048576,256,20894,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,1864307e417632dbebd984d4c18575c3c17a58389608b8be95dad659fd5d588e,16,4,1,446625,8812958,536583,151112792,1048576,256,20894,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,1864307e417632dbebd984d4c18575c3c17a58389608b8be95dad659fd5d588e,16,4,2,410833,9019458,495500,152483125,1048576,256,20894,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,1864307e417632dbebd984d4c18575c3c17a58389608b8be95dad659fd5d588e,16,4,3,418583,9477459,493500,150952125,1048576,256,20894,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,1864307e417632dbebd984d4c18575c3c17a58389608b8be95dad659fd5d588e,16,4,4,405000,8676458,537750,150794458,1048576,256,20894,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,1864307e417632dbebd984d4c18575c3c17a58389608b8be95dad659fd5d588e,16,4,5,398209,8794250,536459,152334708,1048576,256,20894,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,1864307e417632dbebd984d4c18575c3c17a58389608b8be95dad659fd5d588e,16,4,6,450792,10878166,800708,151722083,1048576,256,20894,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,1864307e417632dbebd984d4c18575c3c17a58389608b8be95dad659fd5d588e,16,4,7,438583,8666375,542584,150710208,1048576,256,20894,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,1864307e417632dbebd984d4c18575c3c17a58389608b8be95dad659fd5d588e,16,4,8,442292,8696292,543500,152305917,1048576,256,20894,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,1864307e417632dbebd984d4c18575c3c17a58389608b8be95dad659fd5d588e,16,4,9,455833,9428875,676708,151785458,1048576,256,20894,true,ok
