schema_version,input_sha256,transcript_sha256,bad_output,relevant_inputs,latches,trial,producer_terminal_ns,proof_generate_ns,proof_verify_ns,exhaustive_verify_ns,exhaustive_evaluations,witnesses,proof_bytes,safe_states,terminal_agrees,status
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8df58fcfdc08ba5f55392f1933ff1405be21401b22410b647d9425a22fc4d77c,0,12,3,0,200209,114458,99333,69542,8,7,1031,7f,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8df58fcfdc08ba5f55392f1933ff1405be21401b22410b647d9425a22fc4d77c,0,12,3,1,161959,63792,62166,68333,8,7,1031,7f,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8df58fcfdc08ba5f55392f1933ff1405be21401b22410b647d9425a22fc4d77c,0,12,3,2,72291,46750,32583,33125,8,7,1031,7f,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8df58fcfdc08ba5f55392f1933ff1405be21401b22410b647d9425a22fc4d77c,0,12,3,3,66792,27708,26416,31542,8,7,1031,7f,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8df58fcfdc08ba5f55392f1933ff1405be21401b22410b647d9425a22fc4d77c,0,12,3,4,65542,25000,26292,31958,8,7,1031,7f,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8df58fcfdc08ba5f55392f1933ff1405be21401b22410b647d9425a22fc4d77c,0,12,3,5,65500,27333,24334,32000,8,7,1031,7f,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8df58fcfdc08ba5f55392f1933ff1405be21401b22410b647d9425a22fc4d77c,0,12,3,6,66209,22958,23292,31083,8,7,1031,7f,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8df58fcfdc08ba5f55392f1933ff1405be21401b22410b647d9425a22fc4d77c,0,12,3,7,62625,23500,23208,31958,8,7,1031,7f,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8df58fcfdc08ba5f55392f1933ff1405be21401b22410b647d9425a22fc4d77c,0,12,3,8,63916,23750,23500,31041,8,7,1031,7f,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8df58fcfdc08ba5f55392f1933ff1405be21401b22410b647d9425a22fc4d77c,0,12,3,9,63542,22458,22917,31583,8,7,1031,7f,true,ok
