schema_version,input_sha256,transcript_sha256,bad_output,relevant_inputs,latches,trial,producer_terminal_ns,proof_generate_ns,proof_verify_ns,exhaustive_verify_ns,exhaustive_evaluations,witnesses,proof_bytes,safe_states,terminal_agrees,status
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8a1490a8115e4e3d971165f98195e0cc6ee2474344d661275150643aaddea462,0,12,3,0,112834,59750,33709,1500,8,8,536,ff,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8a1490a8115e4e3d971165f98195e0cc6ee2474344d661275150643aaddea462,0,12,3,1,83416,32833,24583,1334,8,8,536,ff,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8a1490a8115e4e3d971165f98195e0cc6ee2474344d661275150643aaddea462,0,12,3,2,77417,30167,23666,1958,8,8,536,ff,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8a1490a8115e4e3d971165f98195e0cc6ee2474344d661275150643aaddea462,0,12,3,3,74792,25833,18375,1041,8,8,536,ff,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8a1490a8115e4e3d971165f98195e0cc6ee2474344d661275150643aaddea462,0,12,3,4,71541,26750,21042,1042,8,8,536,ff,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8a1490a8115e4e3d971165f98195e0cc6ee2474344d661275150643aaddea462,0,12,3,5,72750,22750,19167,1000,8,8,536,ff,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8a1490a8115e4e3d971165f98195e0cc6ee2474344d661275150643aaddea462,0,12,3,6,72375,24458,17666,1041,8,8,536,ff,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8a1490a8115e4e3d971165f98195e0cc6ee2474344d661275150643aaddea462,0,12,3,7,70209,22291,16500,1000,8,8,536,ff,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8a1490a8115e4e3d971165f98195e0cc6ee2474344d661275150643aaddea462,0,12,3,8,69541,21708,50792,2083,8,8,536,ff,true,ok
1,3382796781b1f507912bc40eb7648d2590e96e183bbe119987345d0ce52b09cd,8a1490a8115e4e3d971165f98195e0cc6ee2474344d661275150643aaddea462,0,12,3,9,75500,34208,18625,1041,8,8,536,ff,true,ok
