schema_version,input_sha256,transcript_sha256,bad_output,relevant_inputs,latches,trial,producer_terminal_ns,proof_generate_ns,proof_verify_ns,exhaustive_verify_ns,exhaustive_evaluations,witnesses,proof_bytes,safe_states,terminal_agrees,status
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,3b17ef023704a9dc7c73a148deea44d570335717bef5c8b2788e00b2dca3b652,0,9,2,0,126125,146542,71791,2792,4,4,695,f,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,3b17ef023704a9dc7c73a148deea44d570335717bef5c8b2788e00b2dca3b652,0,9,2,1,59500,36042,30000,958,4,4,695,f,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,3b17ef023704a9dc7c73a148deea44d570335717bef5c8b2788e00b2dca3b652,0,9,2,2,55458,31583,25833,791,4,4,695,f,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,3b17ef023704a9dc7c73a148deea44d570335717bef5c8b2788e00b2dca3b652,0,9,2,3,54250,27166,23958,791,4,4,695,f,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,3b17ef023704a9dc7c73a148deea44d570335717bef5c8b2788e00b2dca3b652,0,9,2,4,52833,26958,26250,833,4,4,695,f,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,3b17ef023704a9dc7c73a148deea44d570335717bef5c8b2788e00b2dca3b652,0,9,2,5,51792,26792,27458,791,4,4,695,f,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,3b17ef023704a9dc7c73a148deea44d570335717bef5c8b2788e00b2dca3b652,0,9,2,6,50792,24542,23959,750,4,4,695,f,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,3b17ef023704a9dc7c73a148deea44d570335717bef5c8b2788e00b2dca3b652,0,9,2,7,50792,24667,23667,750,4,4,695,f,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,3b17ef023704a9dc7c73a148deea44d570335717bef5c8b2788e00b2dca3b652,0,9,2,8,50958,23667,23000,750,4,4,695,f,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,3b17ef023704a9dc7c73a148deea44d570335717bef5c8b2788e00b2dca3b652,0,9,2,9,52333,23458,24291,709,4,4,695,f,true,ok
