schema_version,input_sha256,transcript_sha256,bad_output,relevant_inputs,latches,trial,producer_terminal_ns,proof_generate_ns,proof_verify_ns,exhaustive_verify_ns,exhaustive_evaluations,witnesses,proof_bytes,safe_states,terminal_agrees,status
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,1864307e417632dbebd984d4c18575c3c17a58389608b8be95dad659fd5d588e,0,16,4,0,117458,64834,45167,3208,16,16,959,ffff,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,1864307e417632dbebd984d4c18575c3c17a58389608b8be95dad659fd5d588e,0,16,4,1,97250,40792,33125,1791,16,16,959,ffff,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,1864307e417632dbebd984d4c18575c3c17a58389608b8be95dad659fd5d588e,0,16,4,2,90625,31792,29666,1791,16,16,959,ffff,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,1864307e417632dbebd984d4c18575c3c17a58389608b8be95dad659fd5d588e,0,16,4,3,92500,28125,27083,7167,16,16,959,ffff,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,1864307e417632dbebd984d4c18575c3c17a58389608b8be95dad659fd5d588e,0,16,4,4,98417,40500,35542,1917,16,16,959,ffff,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,1864307e417632dbebd984d4c18575c3c17a58389608b8be95dad659fd5d588e,0,16,4,5,90500,33916,31792,1792,16,16,959,ffff,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,1864307e417632dbebd984d4c18575c3c17a58389608b8be95dad659fd5d588e,0,16,4,6,92542,30250,73084,2625,16,16,959,ffff,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,1864307e417632dbebd984d4c18575c3c17a58389608b8be95dad659fd5d588e,0,16,4,7,94208,38625,29542,1833,16,16,959,ffff,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,1864307e417632dbebd984d4c18575c3c17a58389608b8be95dad659fd5d588e,0,16,4,8,89000,32459,26583,1709,16,16,959,ffff,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,1864307e417632dbebd984d4c18575c3c17a58389608b8be95dad659fd5d588e,0,16,4,9,89416,28334,28083,1709,16,16,959,ffff,true,ok
