kind,width,horizon,variables,clauses,queries,node_limit,order,admitted,recognition_ns,bdd_nodes,compiled_frames,cycle_start,cycle_length,preimage_ns_per_query,incremental_varisat_ns_per_query,speedup_vs_incremental,sat_queries,unsat_queries,agreement,witnesses_valid,status
majority3,6,100,606,4800,50,200000,dependency,true,616042,439,8,2,6,4113.320,443164.180,107.738805,21,29,true,true,ok
majority3,6,1000,6006,48000,50,200000,dependency,true,4510333,439,8,2,6,25107.500,3562657.500,141.896147,25,25,true,true,ok
majority3,6,10000,60006,480000,50,200000,dependency,true,27183333,439,8,2,6,127554.160,46337219.160,363.274856,20,30,true,true,ok
majority3,8,100,808,6400,50,200000,dependency,true,981791,1133,11,3,8,7977.500,1432715.840,179.594590,27,23,true,true,ok
majority3,8,1000,8008,64000,50,200000,dependency,true,4100083,1133,11,3,8,24733.320,16662938.340,673.704070,26,24,true,true,ok
majority3,8,10000,80008,640000,50,200000,dependency,true,36703791,1133,11,3,8,225364.160,195507555.000,867.518398,32,18,true,true,ok
mux3,6,100,606,4800,50,200000,dependency,true,612958,668,10,4,6,5498.340,495756.680,90.164792,21,29,true,true,ok
mux3,6,1000,6006,48000,50,200000,dependency,true,2736667,668,10,4,6,17455.820,4835220.000,276.997586,23,27,true,true,ok
mux3,6,10000,60006,480000,50,200000,dependency,true,25975584,668,10,4,6,112110.840,43997761.680,392.448774,17,33,true,true,ok
mux3,8,100,808,6400,50,200000,dependency,true,1293833,2011,14,6,8,7136.660,1813434.160,254.101241,22,28,true,true,ok
mux3,8,1000,8008,64000,50,200000,dependency,true,4015458,2011,14,6,8,20185.000,22986674.160,1138.799810,22,28,true,true,ok
mux3,8,10000,80008,640000,50,200000,dependency,true,34350583,2011,14,6,8,201553.340,249125932.500,1236.029790,29,21,true,true,ok
mixed3,6,100,606,4800,50,200000,dependency,true,645000,1012,8,2,6,5065.840,553563.320,109.273747,20,30,true,true,ok
mixed3,6,1000,6006,48000,50,200000,dependency,true,2888875,1012,8,2,6,21408.320,3391613.340,158.425011,27,23,true,true,ok
mixed3,6,10000,60006,480000,50,200000,dependency,true,25989458,1012,8,2,6,162643.320,37024248.320,227.640756,25,25,true,true,ok
mixed3,8,100,808,6400,50,200000,dependency,true,1121709,2133,7,3,4,10346.680,1224855.840,118.381533,27,23,true,true,ok
mixed3,8,1000,8008,64000,50,200000,dependency,true,3981667,2133,7,3,4,25495.840,11239916.680,440.852966,26,24,true,true,ok
mixed3,8,10000,80008,640000,50,200000,dependency,true,32368250,2133,7,3,4,195407.500,114002443.340,583.408740,29,21,true,true,ok
cascade4,6,100,606,9600,50,200000,dependency,true,9846625,7187,21,3,18,6919.160,1157463.320,167.283792,26,24,true,true,ok
cascade4,6,1000,6006,96000,50,200000,dependency,true,9420750,7187,21,3,18,23304.160,8807881.660,377.953192,27,23,true,true,ok
cascade4,6,10000,60006,960000,50,200000,dependency,true,64745375,7187,21,3,18,219167.500,91159334.160,415.934544,31,19,true,true,ok
cascade4,8,100,808,12800,50,200000,dependency,true,10249625,20710,20,12,8,9954.160,4345340.000,436.535077,25,25,true,true,ok
cascade4,8,1000,8008,128000,50,200000,dependency,true,16226292,20710,20,12,8,27795.000,21434251.680,771.154944,29,21,true,true,ok
cascade4,8,10000,80008,1280000,50,200000,dependency,true,80308458,20710,20,12,8,170536.660,552401253.340,3239.193575,23,27,true,true,ok
