kind,width,horizon,variables,clauses,queries,node_limit,order,admitted,recognition_ns,bdd_nodes,compiled_frames,cycle_start,cycle_length,preimage_ns_per_query,incremental_varisat_ns_per_query,speedup_vs_incremental,sat_queries,unsat_queries,agreement,witnesses_valid,status
majority3,6,100,606,4800,50,200000,dependency-guard,true,1217583,439,8,2,6,8262.500,535803.320,64.847603,21,29,true,true,ok
majority3,6,1000,6006,48000,50,200000,dependency-guard,true,2897250,439,8,2,6,19311.660,3786171.680,196.056252,25,25,true,true,ok
majority3,6,10000,60006,480000,50,200000,dependency-guard,true,28164250,439,8,2,6,130151.660,51301253.320,394.165186,20,30,true,true,ok
majority3,8,100,808,6400,50,200000,dependency-guard,true,1097291,1133,11,3,8,8775.000,1470285.820,167.553940,27,23,true,true,ok
majority3,8,1000,8008,64000,50,200000,dependency-guard,true,3830167,1133,11,3,8,23590.000,16849186.660,714.251236,26,24,true,true,ok
majority3,8,10000,80008,640000,50,200000,dependency-guard,true,39167916,1133,11,3,8,218213.340,231290518.320,1059.928409,32,18,true,true,ok
mux3,6,100,606,4800,50,200000,dependency-guard,true,574834,668,10,4,6,4525.840,442130.000,97.690153,21,29,true,true,ok
mux3,6,1000,6006,48000,50,200000,dependency-guard,true,2887625,668,10,4,6,18357.500,4964408.340,270.429434,23,27,true,true,ok
mux3,6,10000,60006,480000,50,200000,dependency-guard,true,26047541,668,10,4,6,110240.840,49428243.320,448.365990,17,33,true,true,ok
mux3,8,100,808,6400,50,200000,dependency-guard,true,1314292,2011,14,6,8,6875.840,1792628.340,260.714086,22,28,true,true,ok
mux3,8,1000,8008,64000,50,200000,dependency-guard,true,4025125,2011,14,6,8,20326.660,23743789.160,1168.110706,22,28,true,true,ok
mux3,8,10000,80008,640000,50,200000,dependency-guard,true,41219917,2011,14,6,8,216735.820,307559977.500,1419.054670,29,21,true,true,ok
mixed3,6,100,606,4800,50,200000,dependency-guard,true,655500,1012,8,2,6,5082.500,449686.660,88.477454,20,30,true,true,ok
mixed3,6,1000,6006,48000,50,200000,dependency-guard,true,2961208,1012,8,2,6,21777.500,3467135.840,159.207248,27,23,true,true,ok
mixed3,6,10000,60006,480000,50,200000,dependency-guard,true,24510625,1012,8,2,6,165756.660,47705322.500,287.803353,25,25,true,true,ok
mixed3,8,100,808,6400,50,200000,dependency-guard,true,1218167,2133,7,3,4,10597.500,1261715.840,119.057876,27,23,true,true,ok
mixed3,8,1000,8008,64000,50,200000,dependency-guard,true,4281583,2133,7,3,4,25642.500,12818127.500,499.878230,26,24,true,true,ok
mixed3,8,10000,80008,640000,50,200000,dependency-guard,true,41850334,2133,7,3,4,207461.660,129596898.340,624.678788,29,21,true,true,ok
cascade4,6,100,606,9600,50,200000,dependency-guard,true,4227500,7187,21,3,18,7188.320,1124655.000,156.455890,26,24,true,true,ok
cascade4,6,1000,6006,96000,50,200000,dependency-guard,true,9277875,7187,21,3,18,23375.000,9308075.000,398.206417,27,23,true,true,ok
cascade4,6,10000,60006,960000,50,200000,dependency-guard,true,63962333,7187,21,3,18,211333.340,117480670.000,555.902206,31,19,true,true,ok
cascade4,8,100,808,12800,50,200000,dependency-guard,true,10359375,20710,20,12,8,10086.660,5312473.340,526.683098,25,25,true,true,ok
cascade4,8,1000,8008,128000,50,200000,dependency-guard,true,18513083,20710,20,12,8,27687.500,23774798.340,858.683461,29,21,true,true,ok
cascade4,8,10000,80008,1280000,50,200000,dependency-guard,true,84719500,20710,20,12,8,180319.160,698209131.660,3872.074003,23,27,true,true,ok
