kind,width,horizon,variables,clauses,queries,node_limit,order,admitted,recognition_ns,bdd_nodes,preimage_ns_per_query,incremental_varisat_ns_per_query,speedup_vs_incremental,sat_queries,unsat_queries,agreement,witnesses_valid,status
majority3,7,7,56,392,50,200000,dependency,true,1073792,581,16698.340,53030.840,3.175815,28,22,true,true,ok
majority3,7,15,112,840,50,200000,dependency,true,1313917,615,10509.180,122968.340,11.701040,24,26,true,true,ok
majority3,7,31,224,1736,50,200000,dependency,true,2495000,615,10254.160,374194.160,36.491937,21,29,true,true,ok
majority3,9,7,72,504,50,200000,dependency,true,4781833,1259,7957.500,24219.160,3.043564,35,15,true,true,ok
majority3,9,15,144,1080,50,200000,dependency,true,1131084,1428,17283.320,177098.340,10.246778,32,18,true,true,ok
majority3,9,31,288,2232,50,200000,dependency,true,4831667,1428,21375.000,704093.320,32.940038,32,18,true,true,ok
mux3,7,7,56,392,50,200000,dependency,true,606625,915,9215.820,32468.340,3.523109,32,18,true,true,ok
mux3,7,15,112,840,50,200000,dependency,true,1659542,1268,12854.160,108239.160,8.420555,23,27,true,true,ok
mux3,7,31,224,1736,50,200000,dependency,true,3515916,1268,44185.000,331901.680,7.511637,26,24,true,true,ok
mux3,9,7,72,504,50,200000,dependency,true,655125,1528,6959.180,39895.000,5.732716,33,17,true,true,ok
mux3,9,15,144,1080,50,200000,dependency,true,7202375,3070,19712.500,157016.660,7.965335,33,17,true,true,ok
mux3,9,31,288,2232,50,200000,dependency,true,5498875,3133,11624.160,950578.340,81.776089,26,24,true,true,ok
mixed3,7,7,56,392,50,200000,dependency,true,1167875,1567,7275.000,19834.160,2.726345,26,24,true,true,ok
mixed3,7,15,112,840,50,200000,dependency,true,1118459,1656,8042.500,63362.500,7.878458,26,24,true,true,ok
mixed3,7,31,224,1736,50,200000,dependency,true,5455000,1656,21643.320,246381.660,11.383728,25,25,true,true,ok
mixed3,9,7,72,504,50,200000,dependency,true,2767250,3488,32050.000,24626.680,0.768383,37,13,true,true,ok
mixed3,9,15,144,1080,50,200000,dependency,true,4149000,3714,18232.500,217446.660,11.926322,32,18,true,true,ok
mixed3,9,31,288,2232,50,200000,dependency,true,6926375,3714,23940.840,638219.160,26.658177,32,18,true,true,ok
cascade4,7,7,56,784,50,200000,dependency,true,3768416,6481,11685.840,70825.840,6.060826,45,5,true,true,ok
cascade4,7,15,112,1680,50,200000,dependency,true,10300000,14879,27283.340,194493.320,7.128648,42,8,true,true,ok
cascade4,7,31,224,3472,50,200000,dependency,true,21223458,30205,21455.000,585643.340,27.296357,39,11,true,true,ok
cascade4,9,7,72,1008,50,200000,dependency,true,16530667,25730,40991.660,56045.000,1.367229,50,0,true,true,ok
cascade4,9,15,144,2160,50,200000,dependency,true,32508583,65321,124727.500,318828.340,2.556199,50,0,true,true,ok
cascade4,9,31,288,4464,50,200000,dependency,true,83583459,123160,62080.000,2531737.500,40.781854,46,4,true,true,ok
