kind,width,horizon,variables,clauses,queries,node_limit,order,admitted,recognition_ns,bdd_nodes,preimage_ns_per_query,incremental_varisat_ns_per_query,speedup_vs_incremental,sat_queries,unsat_queries,agreement,witnesses_valid,status
majority3,7,7,56,392,50,200000,evenodd,true,715250,560,11070.000,34656.680,3.130685,28,22,true,true,ok
majority3,7,15,112,840,50,200000,evenodd,true,1646708,595,26790.000,85360.000,3.186264,24,26,true,true,ok
majority3,7,31,224,1736,50,200000,evenodd,true,2129667,595,5154.160,348474.160,67.610272,21,29,true,true,ok
majority3,9,7,72,504,50,200000,evenodd,true,1370417,1196,21678.340,47179.160,2.176327,35,15,true,true,ok
majority3,9,15,144,1080,50,200000,evenodd,true,4423000,1370,34599.160,141918.340,4.101786,32,18,true,true,ok
majority3,9,31,288,2232,50,200000,evenodd,true,5919167,1370,32715.000,631017.500,19.288323,32,18,true,true,ok
mux3,7,7,56,392,50,200000,evenodd,true,684375,877,10053.340,34018.340,3.383785,32,18,true,true,ok
mux3,7,15,112,840,50,200000,evenodd,true,1615792,1197,12687.500,209225.820,16.490705,23,27,true,true,ok
mux3,7,31,224,1736,50,200000,evenodd,true,2159125,1197,19316.660,351277.500,18.185209,26,24,true,true,ok
mux3,9,7,72,504,50,200000,evenodd,true,641709,1785,24184.180,61450.820,2.540951,33,17,true,true,ok
mux3,9,15,144,1080,50,200000,evenodd,true,3334209,3230,10459.160,238492.500,22.802261,33,17,true,true,ok
mux3,9,31,288,2232,50,200000,evenodd,true,10111334,3282,24578.340,814660.000,33.145444,26,24,true,true,ok
mixed3,7,7,56,392,50,200000,evenodd,true,1449458,1756,17770.000,30563.320,1.719939,26,24,true,true,ok
mixed3,7,15,112,840,50,200000,evenodd,true,2854584,1846,21988.340,103058.320,4.686953,26,24,true,true,ok
mixed3,7,31,224,1736,50,200000,evenodd,true,4697083,1846,18868.340,214707.500,11.379247,25,25,true,true,ok
mixed3,9,7,72,504,50,200000,evenodd,true,3822500,4223,17042.500,28328.340,1.662217,37,13,true,true,ok
mixed3,9,15,144,1080,50,200000,evenodd,true,7393250,4462,35116.660,209698.320,5.971477,32,18,true,true,ok
mixed3,9,31,288,2232,50,200000,evenodd,true,9346583,4462,43983.340,623463.340,14.174989,32,18,true,true,ok
cascade4,7,7,56,784,50,200000,evenodd,true,2643208,6599,24795.000,62318.340,2.513343,45,5,true,true,ok
cascade4,7,15,112,1680,50,200000,evenodd,true,10884500,15007,24361.660,185461.680,7.612851,42,8,true,true,ok
cascade4,7,31,224,3472,50,200000,evenodd,true,18955208,30418,19087.500,638246.660,33.437939,39,11,true,true,ok
cascade4,9,7,72,1008,50,200000,evenodd,true,14239166,26949,84129.160,83234.160,0.989362,50,0,true,true,ok
cascade4,9,15,144,2160,50,200000,evenodd,true,45426584,66230,115231.680,319987.500,2.776906,50,0,true,true,ok
cascade4,9,31,288,4464,50,200000,evenodd,true,80741875,122385,109247.500,2542781.660,23.275422,46,4,true,true,ok
