kind,width,horizon,variables,clauses,queries,node_limit,order,admitted,recognition_ns,bdd_nodes,preimage_ns_per_query,incremental_varisat_ns_per_query,speedup_vs_incremental,sat_queries,unsat_queries,agreement,witnesses_valid,status
majority3,7,7,56,392,50,200000,natural,true,363750,581,11392.500,41554.160,3.647501,28,22,true,true,ok
majority3,7,15,112,840,50,200000,natural,true,1577792,615,12452.500,109746.660,8.813223,24,26,true,true,ok
majority3,7,31,224,1736,50,200000,natural,true,1648083,615,10510.000,313053.320,29.786234,21,29,true,true,ok
majority3,9,7,72,504,50,200000,natural,true,1586250,1259,12461.660,43371.660,3.480408,35,15,true,true,ok
majority3,9,15,144,1080,50,200000,natural,true,4852000,1428,22129.160,135851.680,6.139035,32,18,true,true,ok
majority3,9,31,288,2232,50,200000,natural,true,6849208,1428,9246.660,650056.660,70.301780,32,18,true,true,ok
mux3,7,7,56,392,50,200000,natural,true,364250,915,4130.000,19697.500,4.769370,32,18,true,true,ok
mux3,7,15,112,840,50,200000,natural,true,1477875,1268,13964.160,64485.840,4.617953,23,27,true,true,ok
mux3,7,31,224,1736,50,200000,natural,true,2217667,1268,13911.680,383389.160,27.558797,26,24,true,true,ok
mux3,9,7,72,504,50,200000,natural,true,543500,1528,6936.660,35634.180,5.137080,33,17,true,true,ok
mux3,9,15,144,1080,50,200000,natural,true,2385542,3070,44047.500,292295.000,6.635904,33,17,true,true,ok
mux3,9,31,288,2232,50,200000,natural,true,6371625,3133,20938.340,904395.000,43.193252,26,24,true,true,ok
mixed3,7,7,56,392,50,200000,natural,true,656500,1567,7032.500,21411.680,3.044675,26,24,true,true,ok
mixed3,7,15,112,840,50,200000,natural,true,1668791,1656,14735.840,72458.320,4.917149,26,24,true,true,ok
mixed3,7,31,224,1736,50,200000,natural,true,6028834,1656,8477.500,242551.660,28.611225,25,25,true,true,ok
mixed3,9,7,72,504,50,200000,natural,true,2613791,3488,15394.160,23565.000,1.530775,37,13,true,true,ok
mixed3,9,15,144,1080,50,200000,natural,true,2672125,3714,21105.000,167225.000,7.923478,32,18,true,true,ok
mixed3,9,31,288,2232,50,200000,natural,true,6849167,3714,21797.500,648440.000,29.748366,32,18,true,true,ok
cascade4,7,7,56,784,50,200000,natural,true,3033042,6481,13585.000,60478.340,4.451847,45,5,true,true,ok
cascade4,7,15,112,1680,50,200000,natural,true,8472625,14879,25500.820,226365.820,8.876806,42,8,true,true,ok
cascade4,7,31,224,3472,50,200000,natural,true,20352875,30205,23505.000,574740.820,24.451854,39,11,true,true,ok
cascade4,9,7,72,1008,50,200000,natural,true,12638666,25730,46150.000,58567.500,1.269068,50,0,true,true,ok
cascade4,9,15,144,2160,50,200000,natural,true,44330125,65321,145717.500,310807.500,2.132946,50,0,true,true,ok
cascade4,9,31,288,4464,50,200000,natural,true,93040333,123160,58922.500,2556265.840,43.383526,46,4,true,true,ok
