kind,width,horizon,variables,clauses,queries,node_limit,order,admitted,recognition_ns,bdd_nodes,preimage_ns_per_query,incremental_varisat_ns_per_query,speedup_vs_incremental,sat_queries,unsat_queries,agreement,witnesses_valid,status
majority3,7,7,56,392,50,200000,reverse,true,871708,601,10710.000,37952.500,3.543651,28,22,true,true,ok
majority3,7,15,112,840,50,200000,reverse,true,1530333,650,11818.340,94886.680,8.028765,24,26,true,true,ok
majority3,7,31,224,1736,50,200000,reverse,true,2771541,650,11035.840,351562.500,31.856433,21,29,true,true,ok
majority3,9,7,72,504,50,200000,reverse,true,2421166,1299,82658.320,35968.320,0.435145,35,15,true,true,ok
majority3,9,15,144,1080,50,200000,reverse,true,2685792,1478,15745.000,165821.660,10.531703,32,18,true,true,ok
majority3,9,31,288,2232,50,200000,reverse,true,3485708,1478,9411.660,593567.500,63.067248,32,18,true,true,ok
mux3,7,7,56,392,50,200000,reverse,true,889667,958,10703.320,37564.160,3.509580,32,18,true,true,ok
mux3,7,15,112,840,50,200000,reverse,true,1744125,1341,13055.840,132195.840,10.125418,23,27,true,true,ok
mux3,7,31,224,1736,50,200000,reverse,true,5331500,1341,16065.840,294899.160,18.355664,26,24,true,true,ok
mux3,9,7,72,504,50,200000,reverse,true,1221666,1680,29832.500,56765.000,1.902791,33,17,true,true,ok
mux3,9,15,144,1080,50,200000,reverse,true,1922083,3288,26787.500,233826.660,8.728947,33,17,true,true,ok
mux3,9,31,288,2232,50,200000,reverse,true,7618417,3344,24694.160,774585.000,31.367133,26,24,true,true,ok
mixed3,7,7,56,392,50,200000,reverse,true,867125,1575,6800.840,26440.000,3.887755,26,24,true,true,ok
mixed3,7,15,112,840,50,200000,reverse,true,2448834,1666,18051.660,88245.000,4.888470,26,24,true,true,ok
mixed3,7,31,224,1736,50,200000,reverse,true,6076708,1666,19165.000,222427.500,11.605922,25,25,true,true,ok
mixed3,9,7,72,504,50,200000,reverse,true,2395416,3441,31285.840,26431.660,0.844844,37,13,true,true,ok
mixed3,9,15,144,1080,50,200000,reverse,true,2631292,3669,18361.660,213249.160,11.613828,32,18,true,true,ok
mixed3,9,31,288,2232,50,200000,reverse,true,5156958,3669,20847.500,650159.160,31.186433,32,18,true,true,ok
cascade4,7,7,56,784,50,200000,reverse,true,3579208,6598,18387.500,86095.000,4.682257,45,5,true,true,ok
cascade4,7,15,112,1680,50,200000,reverse,true,10336584,15021,25641.680,205260.820,8.004968,42,8,true,true,ok
cascade4,7,31,224,3472,50,200000,reverse,true,21244583,30396,35272.500,485445.000,13.762705,39,11,true,true,ok
cascade4,9,7,72,1008,50,200000,reverse,true,14834208,26198,60330.000,74993.340,1.243052,50,0,true,true,ok
cascade4,9,15,144,2160,50,200000,reverse,true,45173334,65804,113522.500,266555.000,2.348037,50,0,true,true,ok
cascade4,9,31,288,4464,50,200000,reverse,true,78608208,123426,62988.340,2515714.180,39.939363,46,4,true,true,ok
