kind,width,horizon,variables,clauses,queries,node_limit,admitted,recognition_ns,bdd_nodes,preimage_ns_per_query,incremental_varisat_ns_per_query,speedup_vs_incremental,sat_queries,unsat_queries,agreement,witnesses_valid,status
majority3,4,2,12,64,100,200000,true,139750,72,1064.580,2096.660,1.969472,52,48,true,true,ok
majority3,4,4,20,128,100,200000,true,62417,109,1130.420,3306.250,2.924798,46,54,true,true,ok
majority3,4,8,36,256,100,200000,true,150875,114,1356.660,8262.500,6.090325,39,61,true,true,ok
majority3,4,16,68,512,100,200000,true,144375,114,1132.910,22462.500,19.827259,40,60,true,true,ok
majority3,6,2,18,96,100,200000,true,48500,157,2019.170,3358.340,1.663228,74,26,true,true,ok
majority3,6,4,30,192,100,200000,true,502583,367,6018.750,13625.840,2.263899,60,40,true,true,ok
majority3,6,8,54,384,100,200000,true,583417,439,5530.410,35289.160,6.380930,58,42,true,true,ok
majority3,6,16,102,768,100,200000,true,422917,439,3194.160,58520.830,18.321196,49,51,true,true,ok
majority3,8,2,24,128,100,200000,true,90625,201,4132.500,4591.670,1.111112,71,29,true,true,ok
majority3,8,4,40,256,100,200000,true,518250,758,11518.750,11253.750,0.976994,64,36,true,true,ok
majority3,8,8,72,512,100,200000,true,747666,1056,5377.500,41104.170,7.643732,66,34,true,true,ok
majority3,8,16,136,1024,100,200000,true,2351208,1133,12917.500,139510.420,10.800110,62,38,true,true,ok
mux3,4,2,12,64,100,200000,true,73833,64,2025.830,2260.420,1.115799,58,42,true,true,ok
mux3,4,4,20,128,100,200000,true,68292,115,1181.670,3745.000,3.169244,47,53,true,true,ok
mux3,4,8,36,256,100,200000,true,105750,126,2715.420,12212.910,4.497614,43,57,true,true,ok
mux3,4,16,68,512,100,200000,true,324583,126,3008.750,26898.330,8.940035,45,55,true,true,ok
mux3,6,2,18,96,100,200000,true,49792,116,1883.340,2012.920,1.068803,72,28,true,true,ok
mux3,6,4,30,192,100,200000,true,132750,342,2999.580,10864.590,3.622037,68,32,true,true,ok
mux3,6,8,54,384,100,200000,true,491958,613,4760.420,18916.250,3.973651,57,43,true,true,ok
mux3,6,16,102,768,100,200000,true,583500,668,3837.920,54548.330,14.212993,47,53,true,true,ok
mux3,8,2,24,128,100,200000,true,62000,146,2525.000,4731.670,1.873929,77,23,true,true,ok
mux3,8,4,40,256,100,200000,true,177334,536,3815.420,8477.500,2.221905,74,26,true,true,ok
mux3,8,8,72,512,100,200000,true,805209,1424,7755.410,41252.500,5.319190,67,33,true,true,ok
mux3,8,16,136,1024,100,200000,true,1326166,2011,10624.170,133352.500,12.551804,51,49,true,true,ok
mixed3,4,2,12,64,100,200000,true,40333,69,945.410,1362.920,1.441618,52,48,true,true,ok
mixed3,4,4,20,128,100,200000,true,122958,94,2168.750,4397.500,2.027666,48,52,true,true,ok
mixed3,4,8,36,256,100,200000,true,161375,94,2490.830,10842.910,4.353131,49,51,true,true,ok
mixed3,4,16,68,512,100,200000,true,278416,94,2710.000,21634.170,7.983089,48,52,true,true,ok
mixed3,6,2,18,96,100,200000,true,105792,151,4108.750,2042.910,0.497210,66,34,true,true,ok
mixed3,6,4,30,192,100,200000,true,282375,525,6791.250,7853.340,1.156391,60,40,true,true,ok
mixed3,6,8,54,384,100,200000,true,504042,1012,3351.670,18640.830,5.561654,53,47,true,true,ok
mixed3,6,16,102,768,100,200000,true,1364500,1012,10889.580,46876.250,4.304689,49,51,true,true,ok
mixed3,8,2,24,128,100,200000,true,70166,208,2955.840,3991.660,1.350432,71,29,true,true,ok
mixed3,8,4,40,256,100,200000,true,697750,1060,12305.000,11371.670,0.924150,63,37,true,true,ok
mixed3,8,8,72,512,100,200000,true,1145917,2133,9334.170,33295.830,3.567091,71,29,true,true,ok
mixed3,8,16,136,1024,100,200000,true,1586792,2133,22747.920,119641.250,5.259437,66,34,true,true,ok
cascade4,4,2,12,128,100,200000,true,86417,114,1235.000,3605.000,2.919028,60,40,true,true,ok
cascade4,4,4,20,256,100,200000,true,142334,136,1843.750,7413.330,4.020789,42,58,true,true,ok
cascade4,4,8,36,512,100,200000,true,221834,136,2574.160,20448.340,7.943694,27,73,true,true,ok
cascade4,4,16,68,1024,100,200000,true,517708,136,1117.500,22888.750,20.482103,28,72,true,true,ok
cascade4,6,2,18,192,100,200000,true,465792,480,6428.750,9735.840,1.514422,86,14,true,true,ok
cascade4,6,4,30,384,100,200000,true,1169167,1568,7073.750,19047.080,2.692643,81,19,true,true,ok
cascade4,6,8,54,768,100,200000,true,1842500,3298,7087.080,65652.920,9.263748,73,27,true,true,ok
cascade4,6,16,102,1536,100,200000,true,4520708,5896,18585.830,202450.000,10.892707,61,39,true,true,ok
cascade4,8,2,24,256,100,200000,true,524167,712,12842.920,11678.750,0.909353,94,6,true,true,ok
cascade4,8,4,40,512,100,200000,true,1857958,5564,22215.000,32831.250,1.477887,94,6,true,true,ok
cascade4,8,8,72,1024,100,200000,true,7514542,14311,25832.500,221700.000,8.582212,83,17,true,true,ok
cascade4,8,16,136,2048,100,200000,true,14416542,19737,22597.090,959777.920,42.473518,72,28,true,true,ok
