kind,width,horizon,variables,clauses,queries,max_width,admitted,recognition_ns,representation_entries,symbolic_ns_per_query,incremental_varisat_ns_per_query,speedup_vs_incremental,sat_queries,unsat_queries,agreement,witnesses_valid,status
majority3,16,10,176,1280,50,32,true,150375,176,797.500,10265.000,12.871473,17,33,true,true,ok
majority3,16,100,1616,12800,50,32,true,697834,176,3020.000,67459.180,22.337477,14,36,true,true,ok
majority3,16,500,8016,64000,50,32,true,3193500,176,12008.320,216002.500,17.987737,14,36,true,true,ok
majority3,32,10,352,2560,50,32,true,200750,352,633.320,18135.840,28.636140,18,32,true,true,ok
majority3,32,100,3232,25600,50,32,true,1245041,352,4691.660,120342.500,25.650303,14,36,true,true,ok
majority3,32,500,16032,128000,50,32,true,6533208,352,23646.660,470787.500,19.909260,17,33,true,true,ok
mux3,16,10,176,1280,50,32,true,84792,176,420.820,10862.500,25.812699,13,37,true,true,ok
mux3,16,100,1616,12800,50,32,true,645666,176,2863.340,47903.340,16.729882,14,36,true,true,ok
mux3,16,500,8016,64000,50,32,true,3246458,176,11336.660,195666.660,17.259639,11,39,true,true,ok
mux3,32,10,352,2560,50,32,true,157750,352,593.340,20608.340,34.732767,16,34,true,true,ok
mux3,32,100,3232,25600,50,32,true,1215833,352,3887.500,94615.840,24.338480,9,41,true,true,ok
mux3,32,500,16032,128000,50,32,true,6353333,352,19170.840,368016.660,19.196689,12,38,true,true,ok
mixed3,16,10,176,1280,50,32,true,84333,176,389.160,10035.000,25.786309,15,35,true,true,ok
mixed3,16,100,1616,12800,50,32,true,620292,176,2550.000,53704.180,21.060463,14,36,true,true,ok
mixed3,16,500,8016,64000,50,32,true,3042500,176,10857.500,183686.660,16.917952,15,35,true,true,ok
mixed3,32,10,352,2560,50,32,true,153041,352,599.160,18987.500,31.690200,13,37,true,true,ok
mixed3,32,100,3232,25600,50,32,true,1211250,352,4346.660,97496.660,22.430248,9,41,true,true,ok
mixed3,32,500,16032,128000,50,32,true,5892958,352,21536.680,395874.180,18.381393,14,36,true,true,ok
cascade4,16,10,176,2560,50,32,true,196667,320,455.840,24596.660,53.958977,15,35,true,true,ok
cascade4,16,100,1616,25600,50,32,true,1444000,320,2817.500,219777.500,78.004437,13,37,true,true,ok
cascade4,16,500,8016,128000,50,32,true,8787000,320,13038.340,1114455.000,85.475222,16,34,true,true,ok
cascade4,32,10,352,5120,50,32,true,370000,640,714.180,48651.680,68.122434,14,36,true,true,ok
cascade4,32,100,3232,51200,50,32,true,2943709,640,5034.160,442055.000,87.811075,11,39,true,true,ok
cascade4,32,500,16032,256000,50,32,true,15115375,640,24276.660,2436619.160,100.368797,12,38,true,true,ok
