kind,width,horizon,variables,clauses,queries,max_width,admitted,recognition_ns,jump_table_states,kernel_ns_per_query,incremental_varisat_ns_per_query,speedup_vs_incremental,break_even_queries,sat_queries,unsat_queries,agreement,witnesses_valid,status
majority3,4,10,44,320,100,8,true,35250,64,360.830,11070.410,30.680404,4,56,44,true,true,ok
majority3,4,100,404,3200,100,8,true,286542,112,975.830,164207.500,168.274699,2,49,51,true,true,ok
majority3,4,1000,4004,32000,100,8,true,2339500,160,2600.000,1713770.420,659.142469,2,53,47,true,true,ok
majority3,6,10,66,480,100,8,true,234125,256,504.580,36992.090,73.312636,7,67,33,true,true,ok
majority3,6,100,606,4800,100,8,true,1810208,448,1562.500,674695.420,431.805069,3,59,41,true,true,ok
majority3,6,1000,6006,48000,100,8,true,5282250,640,9827.500,5263876.670,535.627237,2,67,33,true,true,ok
majority3,8,10,88,640,100,8,true,2615917,1024,1071.670,42435.420,39.597469,64,59,41,true,true,ok
majority3,8,100,808,6400,100,8,true,2936042,1792,3189.580,1475004.590,462.444770,2,67,33,true,true,ok
majority3,8,1000,8008,64000,100,8,true,9603459,2560,9260.000,21798299.580,2354.028032,1,62,38,true,true,ok
mux3,4,10,44,320,100,8,true,53792,64,295.420,15993.750,54.139022,4,56,44,true,true,ok
mux3,4,100,404,3200,100,8,true,343750,112,638.750,206278.750,322.941292,2,46,54,true,true,ok
mux3,4,1000,4004,32000,100,8,true,3889000,160,5252.500,1490057.910,283.685466,3,57,43,true,true,ok
mux3,6,10,66,480,100,8,true,120833,256,525.000,39718.330,75.653962,4,58,42,true,true,ok
mux3,6,100,606,4800,100,8,true,397500,448,1005.000,612505.840,609.458547,1,66,34,true,true,ok
mux3,6,1000,6006,48000,100,8,true,3335417,640,5108.340,5867305.000,1148.573705,1,63,37,true,true,ok
mux3,8,10,88,640,100,8,true,2214875,1024,1169.590,69876.660,59.744577,33,75,25,true,true,ok
mux3,8,100,808,6400,100,8,true,2985709,1792,2752.080,1872008.330,680.215811,2,73,27,true,true,ok
mux3,8,1000,8008,64000,100,8,true,4675167,2560,6317.500,26011705.000,4117.404828,1,65,35,true,true,ok
mixed3,4,10,44,320,100,8,true,58959,64,375.410,15868.330,42.269332,4,54,46,true,true,ok
mixed3,4,100,404,3200,100,8,true,194084,112,630.420,142089.580,225.388757,2,50,50,true,true,ok
mixed3,4,1000,4004,32000,100,8,true,3179792,160,2671.670,1511090.000,565.597548,3,51,49,true,true,ok
mixed3,6,10,66,480,100,8,true,172042,256,419.580,23469.170,55.934911,8,72,28,true,true,ok
mixed3,6,100,606,4800,100,8,true,616042,448,1559.580,432793.750,277.506604,2,62,38,true,true,ok
mixed3,6,1000,6006,48000,100,8,true,2902209,640,4164.170,4641732.080,1114.683618,1,69,31,true,true,ok
mixed3,8,10,88,640,100,8,true,1306917,1024,791.250,65324.170,82.558193,21,69,31,true,true,ok
mixed3,8,100,808,6400,100,8,true,1288125,1792,1385.000,1424828.750,1028.757220,1,72,28,true,true,ok
mixed3,8,1000,8008,64000,100,8,true,4332834,2560,5757.500,12432952.920,2159.436026,1,69,31,true,true,ok
cascade4,4,10,44,640,100,8,true,115250,64,380.410,22209.590,58.383297,6,33,67,true,true,ok
cascade4,4,100,404,6400,100,8,true,841417,112,802.500,189469.170,236.098654,5,22,78,true,true,ok
cascade4,4,1000,4004,64000,100,8,true,6950042,160,1987.080,1562850.000,786.505828,5,24,76,true,true,ok
cascade4,6,10,66,960,100,8,true,499208,256,390.830,73057.090,186.928051,7,82,18,true,true,ok
cascade4,6,100,606,9600,100,8,true,1585250,448,1360.410,1160195.830,852.828067,2,69,31,true,true,ok
cascade4,6,1000,6006,96000,100,8,true,6715458,640,4150.000,11628306.250,2802.001506,1,78,22,true,true,ok
cascade4,8,10,88,1280,100,8,true,2934667,1024,722.080,369165.000,511.252216,8,90,10,true,true,ok
cascade4,8,100,808,12800,100,8,true,8464583,1792,2991.660,5021439.170,1678.479229,2,72,28,true,true,ok
cascade4,8,1000,8008,128000,100,8,true,12442458,2560,5942.080,46396117.090,7808.059987,1,65,35,true,true,ok
