width,horizon,variables,clauses,queries,max_bound_bits,frontier_bound_bits,admitted,peak_classes,total_layer_states,compile_ns,quotient_ns_per_query,kernel_ns_per_query,incremental_varisat_ns_per_query,quotient_speedup_vs_incremental,kernel_speedup_vs_incremental,quotient_break_even_queries,sat_queries,unsat_queries,agreement,kernel_agreement,witnesses_valid,kernel_witnesses_valid
2,10,22,40,100,12,3,true,5,108,959,385.410,185.830,499.170,1.295166,2.686165,9,37,63,true,true,true,true
2,100,202,400,100,12,3,true,5,1008,4083,1902.910,252.500,1945.840,1.022560,7.706297,96,38,62,true,true,true,true
2,1000,2002,4000,100,12,3,true,5,10008,40083,36586.250,3809.580,48335.830,1.321147,12.687968,4,44,56,true,true,true,true
2,10000,20002,40000,100,12,3,true,5,100008,705958,303453.750,18516.660,436205.000,1.437468,23.557434,6,35,65,true,true,true,true
4,10,44,80,100,12,5,true,17,712,6833,1181.250,90.410,677.080,0.573189,7.488995,340282366920938463463374607431768211455,31,69,true,true,true,true
4,100,404,800,100,12,5,true,17,6832,16542,8775.000,347.910,3665.000,0.417664,10.534334,340282366920938463463374607431768211455,26,74,true,true,true,true
4,1000,4004,8000,100,12,5,true,17,68032,17579542,80463.750,2850.410,28960.830,0.359924,10.160233,340282366920938463463374607431768211455,23,77,true,true,true,true
4,10000,40004,80000,100,12,5,true,17,680032,15671500,4848238.330,340276.250,633898.330,0.130748,1.862893,340282366920938463463374607431768211455,21,79,true,true,true,true
6,10,66,120,100,12,7,true,65,4028,12584,5020.420,113.750,633.750,0.126234,5.571429,340282366920938463463374607431768211455,22,78,true,true,true,true
6,100,606,1200,100,12,7,true,65,39128,74542,43947.500,502.500,4356.250,0.099124,8.669154,340282366920938463463374607431768211455,27,73,true,true,true,true
6,1000,6006,12000,100,12,7,true,65,390128,25252542,2616272.080,4168.750,59222.500,0.022636,14.206297,340282366920938463463374607431768211455,25,75,true,true,true,true
6,10000,60006,120000,100,12,7,true,65,3900128,10445875,31327882.920,32980.000,2965115.410,0.094648,89.906471,340282366920938463463374607431768211455,15,85,true,true,true,true
