kind,width,horizon,variables,clauses,queries,max_width,admitted,recognition_ns,jump_table_states,kernel_ns_per_query,incremental_varisat_ns_per_query,speedup_vs_incremental,break_even_queries,sat_queries,unsat_queries,agreement,witnesses_valid,status
copy,4,10,44,80,100,8,true,36666,64,490.000,1612.920,3.291673,33,49,51,true,true,ok
copy,4,100,404,800,100,8,true,79416,112,1173.340,9480.000,8.079500,10,48,52,true,true,ok
copy,4,1000,4004,8000,100,8,true,649208,160,7875.000,57020.000,7.240635,14,45,55,true,true,ok
copy,6,10,66,120,100,8,true,62208,256,699.580,2641.250,3.775480,33,61,39,true,true,ok
copy,6,100,606,1200,100,8,true,142834,448,2121.660,14410.420,6.792050,12,51,49,true,true,ok
copy,6,1000,6006,12000,100,8,true,1008042,640,13537.080,174500.420,12.890551,7,61,39,true,true,ok
copy,8,10,88,160,100,8,true,71000,1024,1195.830,2995.000,2.504537,40,72,28,true,true,ok
copy,8,100,808,1600,100,8,true,98917,1792,2015.000,21369.170,10.605047,6,62,38,true,true,ok
copy,8,1000,8008,16000,100,8,true,1262541,2560,19506.250,243345.420,12.475254,6,66,34,true,true,ok
negate,4,10,44,80,100,8,true,20458,64,409.170,1569.160,3.834983,18,53,47,true,true,ok
negate,4,100,404,800,100,8,true,40250,112,1354.170,10708.750,7.907981,5,56,44,true,true,ok
negate,4,1000,4004,8000,100,8,true,613083,160,7666.660,530542.920,69.201311,2,50,50,true,true,ok
negate,6,10,66,120,100,8,true,25666,256,437.080,1425.420,3.261234,26,68,32,true,true,ok
negate,6,100,606,1200,100,8,true,112042,448,1192.090,14089.590,11.819233,9,51,49,true,true,ok
negate,6,1000,6006,12000,100,8,true,605916,640,9048.750,165647.500,18.306120,4,63,37,true,true,ok
negate,8,10,88,160,100,8,true,72250,1024,1405.000,2023.750,1.440391,117,71,29,true,true,ok
negate,8,100,808,1600,100,8,true,183584,1792,3444.160,22204.580,6.447023,10,72,28,true,true,ok
negate,8,1000,8008,16000,100,8,true,1301625,2560,17708.330,276102.500,15.591674,6,64,36,true,true,ok
permute,4,10,44,80,100,8,true,20833,64,504.590,1387.080,2.748925,24,50,50,true,true,ok
permute,4,100,404,800,100,8,true,38125,112,1278.750,10016.250,7.832845,5,45,55,true,true,ok
permute,4,1000,4004,8000,100,8,true,513709,160,7860.420,82951.250,10.553030,7,48,52,true,true,ok
permute,6,10,66,120,100,8,true,34750,256,750.000,2250.000,3.000000,24,65,35,true,true,ok
permute,6,100,606,1200,100,8,true,94625,448,2001.250,10341.250,5.167395,12,56,44,true,true,ok
permute,6,1000,6006,12000,100,8,true,608083,640,7005.000,162757.920,23.234535,4,57,43,true,true,ok
permute,8,10,88,160,100,8,true,35292,1024,1293.330,4729.160,3.656576,11,78,22,true,true,ok
permute,8,100,808,1600,100,8,true,199208,1792,4099.580,13085.420,3.191893,23,67,33,true,true,ok
permute,8,1000,8008,16000,100,8,true,1003208,2560,16000.830,848938.750,53.055920,2,72,28,true,true,ok
xor,4,10,44,160,100,8,true,32917,64,381.670,6495.830,17.019493,6,19,81,true,true,ok
xor,4,100,404,1600,100,8,true,155042,112,685.830,372711.250,543.445533,1,8,92,true,true,ok
xor,4,1000,4004,16000,100,8,true,1476250,160,3561.660,2475654.590,695.084480,1,9,91,true,true,ok
xor,6,10,66,240,100,8,true,69042,256,647.080,32692.500,50.523119,3,78,22,true,true,ok
xor,6,100,606,2400,100,8,true,190917,448,1277.500,1733945.000,1357.295499,1,62,38,true,true,ok
xor,6,1000,6006,24000,100,8,true,2280791,640,14537.910,9408830.420,647.192782,1,66,34,true,true,ok
xor,8,10,88,320,100,8,true,90875,1024,1691.250,794614.170,469.838386,1,43,57,true,true,ok
xor,8,100,808,3200,100,8,true,222625,1792,1556.250,3691700.840,2372.177247,1,12,88,true,true,ok
xor,8,1000,8008,32000,100,8,true,1854709,2560,4654.590,53419965.000,11476.835769,1,6,94,true,true,ok
circuit,4,10,44,320,100,8,true,843416,64,453.750,17152.920,37.802579,51,57,43,true,true,ok
circuit,4,100,404,3200,100,8,true,8481334,112,18307.910,587902.080,32.111917,15,51,49,true,true,ok
circuit,4,1000,4004,32000,100,8,true,2111833,160,6901.670,6917709.590,1002.324016,1,53,47,true,true,ok
circuit,6,10,66,480,100,8,true,99667,256,725.420,74398.330,102.558973,2,70,30,true,true,ok
circuit,6,100,606,4800,100,8,true,577750,448,1857.080,3198322.080,1722.231719,1,42,58,true,true,ok
circuit,6,1000,6006,48000,100,8,true,5749208,640,11187.500,25562776.250,2284.940894,1,39,61,true,true,ok
circuit,8,10,88,640,100,8,true,199416,1024,970.830,104010.830,107.135987,2,98,2,true,true,ok
circuit,8,100,808,6400,100,8,true,500833,1792,2580.830,13022508.330,5045.860568,1,95,5,true,true,ok
circuit,8,1000,8008,64000,100,8,true,32016083,2560,131528.750,187090995.410,1422.434224,1,94,6,true,true,ok
